,,,"City of Surrey, BC",Surrey,Surrey,"Greater Vancouver, Regional district , BC",GVRD,GVRD,British Columbia [Province],BC,BC
Ethnic origin population,      Filipino,,33920,15610,18315,133925,59375,74555,158215,68710,89505
Ethnic origin population,      Hmong,,0,0,0,115,55,60,130,70,60
Ethnic origin population,      Indonesian,,945,460,485,4935,2360,2575,6625,3115,3510
Ethnic origin population,      Japanese,,3695,1755,1940,37630,16285,21345,51150,22200,28945
Ethnic origin population,      Karen,,525,255,270,890,445,440,895,450,445
Ethnic origin population,      Korean,,9450,4430,5015,55505,25715,29785,63300,29330,33975
Ethnic origin population,      Laotian,,1055,540,515,1775,865,905,2530,1275,1255
Ethnic origin population,      Malaysian,,655,350,310,4235,1955,2275,5060,2260,2800
Ethnic origin population,      Mongolian,,100,60,40,1000,485,520,1495,740,760
Ethnic origin population,      Singaporean,,100,45,50,900,420,475,1055,490,560
Ethnic origin population,      Taiwanese,,2540,1170,1375,20340,9315,11025,21455,9810,11650
Ethnic origin population,      Thai,,520,215,310,3330,1300,2030,5065,1870,3195
Ethnic origin population,      Tibetan,,125,75,50,450,235,215,550,290,260
Ethnic origin population,      Vietnamese,,9200,4575,4625,34915,17065,17850,41435,20205,21230
Ethnic origin population,      East and Southeast Asian origins; n.i.e.,126,145,65,85,625,265,365,785,310,470
Ethnic origin population,    Other Asian origins,,505,260,245,1805,910,890,2500,1250,1250
Ethnic origin population,      Other Asian origins; n.i.e.,127,500,255,245,1800,910,890,2500,1250,1255
Ethnic origin population,  Oceania origins,,9155,4485,4670,26815,13345,13470,41125,20605,20520
Ethnic origin population,    Australian,,995,495,500,8360,4365,3990,16240,8385,7855
Ethnic origin population,    New Zealander,,420,200,215,3340,1695,1645,6565,3405,3155
Ethnic origin population,    Pacific Islands origins,,7805,3830,3975,15550,7525,8030,19135,9240,9890
Ethnic origin population,      Fijian,,7320,3625,3690,13080,6375,6705,14145,6895,7250
Ethnic origin population,      Hawaiian,,155,50,105,865,370,495,2200,970,1235
Ethnic origin population,      Maori,,100,45,50,565,320,245,1120,595,530
Ethnic origin population,      Polynesian; n.o.s.,128,80,45,30,245,130,120,600,275,325
Ethnic origin population,      Samoan,,85,40,45,340,145,200,485,255,230
Ethnic origin population,      Pacific Islands origins; n.i.e.,129,140,60,80,675,325,355,905,440,465
Household characteristics,Total - Private households by tenure - 25% sample data,130,169965,,,960895,,,1881970,,
Household characteristics,  Owner,,120940,,,612005,,,1279020,,
Household characteristics,  Renter,,49025,,,348700,,,599360,,
Household characteristics,  Band housing,,0,,,190,,,3590,,
Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,131,169965,,,960890,,,1881970,,
Household characteristics,  Condominium,,38195,,,293765,,,416770,,
Household characteristics,  Not condominium,,131770,,,667130,,,1465200,,
Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,132,169965,,,960895,,,1881970,,
Household characteristics,  No bedrooms,,845,,,17180,,,22705,,
Household characteristics,  1 bedroom,,18985,,,208400,,,311035,,
Household characteristics,  2 bedrooms,,42665,,,259450,,,514015,,
Household characteristics,  3 bedrooms,,48100,,,215335,,,513135,,
Household characteristics,  4 or more bedrooms,,59370,,,260530,,,521075,,
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,133,169965,,,960895,,,1881970,,
Household characteristics,  1 to 4 rooms,,53205,,,413395,,,642910,,
Household characteristics,  5 rooms,,24475,,,129200,,,274780,,
Household characteristics,  6 rooms,,21675,,,100705,,,235845,,
Household characteristics,  7 rooms,,17450,,,83140,,,199715,,
Household characteristics,  8 or more rooms,,53150,,,234455,,,528720,,
Household characteristics,Average number of rooms per dwelling,,6.3,,,5.6,,,6,,
Household characteristics,Total - Private households by number of persons per room - 25% sample data,134,169965,,,960895,,,1881970,,
Household characteristics,  One person or fewer per room,,159915,,,927685,,,1839850,,
Household characteristics,  More than 1 person per room,,10050,,,33210,,,42120,,
Household characteristics,Total - Private households by housing suitability - 25% sample data,135,169960,,,960895,,,1881965,,
Household characteristics,  Suitable,,154380,,,890530,,,1781905,,
Household characteristics,  Not suitable,,15590,,,70365,,,100060,,
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,136,169965,,,960895,,,1881970,,
Household characteristics,  1960 or before,,8335,,,128710,,,267560,,
Household characteristics,  1961 to 1980,,31085,,,253840,,,559485,,
Household characteristics,  1981 to 1990,,32345,,,151755,,,289565,,
Household characteristics,  1991 to 2000,,36140,,,171550,,,331865,,
Household characteristics,  2001 to 2005,,18495,,,71265,,,125335,,
Household characteristics,  2006 to 2010,,24015,,,95905,,,171945,,
Household characteristics,  2011 to 2016,137,19550,,,87860,,,136210,,
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,138,169965,,,960895,,,1881970,,
Household characteristics,  Only regular maintenance or minor repairs needed,,162920,,,906230,,,1763105,,
Household characteristics,  Major repairs needed,,7045,,,54665,,,118865,,
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,139,169965,,,960890,,,1881970,,
Household characteristics,  1 household maintainer,,90450,,,555795,,,1091500,,
Household characteristics,  2 household maintainers,,69480,,,364605,,,725675,,
Household characteristics,  3 or more household maintainers,,10035,,,40495,,,64790,,
Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,140,169960,,,960895,,,1881970,,
Household characteristics,  15 to 24 years,,3805,,,30215,,,58620,,
Household characteristics,  25 to 34 years,,21995,,,142600,,,253950,,
Household characteristics,  35 to 44 years,,34310,,,171450,,,304185,,
Household characteristics,  45 to 54 years,,39945,,,209675,,,378545,,
Household characteristics,  55 to 64 years,,34670,,,188785,,,390185,,
Household characteristics,  65 to 74 years,,21630,,,126445,,,288165,,
Household characteristics,  75 to 84 years,,10070,,,66030,,,152225,,
Household characteristics,  85 years and over,,3535,,,25700,,,56085,,
Household characteristics,Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data,141,169530,,,953380,,,1832420,,
Household characteristics,  Spending less than 30% of income on shelter costs,,121735,,,648420,,,1320210,,
Household characteristics,  Spending 30% or more of income on shelter costs,,47795,,,304955,,,512210,,
Household characteristics,    30% to less than 100%,,40600,,,240995,,,420705,,
Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,,120685,,,608080,,,1242600,,
Household characteristics,  % of owner households with a mortgage,142,68.1,,,60.3,,,58.6,,
Household characteristics,  % of owner households spending 30% or more of its income on shelter costs,141,24.5,,,25.4,,,20.7,,
Household characteristics,  Median monthly shelter costs for owned dwellings ($),143,1498,,,1376,,,1149,,
Household characteristics,  Average monthly shelter costs for owned dwellings ($),143,1608,,,1622,,,1387,,
Household characteristics,  Median value of dwellings ($),144,698205,,,800220,,,500874,,
Household characteristics,  Average value of dwellings ($),144,757863,,,1005920,,,720689,,
Household characteristics,Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data,,48990,,,347220,,,592825,,
Household characteristics,  % of tenant households in subsidized housing,145,11.2,,,13.1,,,12.5,,
Household characteristics,  % of tenant households spending 30% or more of its income on shelter costs,141,37.4,,,43.5,,,43.3,,
Household characteristics,  Median monthly shelter costs for rented dwellings ($),143,908,,,1136,,,1036,,
Household characteristics,  Average monthly shelter costs for rented dwellings ($),143,1049,,,1242,,,1149,,
 Highest certificate; diploma or degree,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,146,419065,205530,213535,2064615,998830,1065780,3870375,1882770,1987605
 Highest certificate; diploma or degree,  No certificate; diploma or degree,,78070,37955,40115,287140,139610,147525,601640,305320,296315
 Highest certificate; diploma or degree,  Secondary (high) school diploma or equivalency certificate,147,135910,68470,67440,589945,288420,301520,1138565,549580,588985
 Highest certificate; diploma or degree,  Postsecondary certificate; diploma or degree,,205080,99100,105985,1187535,570805,616735,2130175,1027870,1102310
 Highest certificate; diploma or degree,    Apprenticeship or trades certificate or diploma,,28805,20930,7880,133015,94640,38380,338980,250270,88720
 Highest certificate; diploma or degree,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,148,13110,7705,5405,61205,35085,26125,142935,83055,59880
 Highest certificate; diploma or degree,      Certificate of Apprenticeship or Certificate of Qualification,149,15695,13225,2470,71810,59560,12255,196045,167210,28840
 Highest certificate; diploma or degree,    College; CEGEP or other non-university certificate or diploma,,69095,28140,40955,345285,145135,200145,700945,280300,420645
 Highest certificate; diploma or degree,    University certificate or diploma below bachelor level,,16490,7305,9190,77850,32950,44900,138010,54420,83585
 Highest certificate; diploma or degree,    University certificate; diploma or degree at bachelor level or above,,90690,42725,47960,631385,298080,333305,952240,442880,509360
 Highest certificate; diploma or degree,      Bachelor's degree,,61130,28275,32860,415805,191250,224555,622670,281020,341655
 Highest certificate; diploma or degree,      University certificate or diploma above bachelor level,,6620,2820,3795,44855,18920,25935,69005,28575,40430
 Highest certificate; diploma or degree,      Degree in medicine; dentistry; veterinary medicine or optometry,,2550,1395,1160,18130,9810,8320,29110,16690,12420
 Highest certificate; diploma or degree,      Master's degree,,18405,8860,9545,129655,63870,65785,195825,94360,101465
 Highest certificate; diploma or degree,      Earned doctorate,150,1980,1375,605,22935,14225,8710,35625,22240,13390
 Highest certificate; diploma or degree,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,146,280900,136390,144510,1392440,671965,720470,2532975,1227040,1305940
 Highest certificate; diploma or degree,  No certificate; diploma or degree,,35180,17805,17375,111570,58090,53480,244000,134410,109585
 Highest certificate; diploma or degree,  Secondary (high) school diploma or equivalency certificate,147,82810,42025,40780,339185,168975,170210,671010,330835,340175
 Highest certificate; diploma or degree,  Postsecondary certificate; diploma or degree,,162915,76560,86350,941680,444900,496780,1617965,761790,856175
 Highest certificate; diploma or degree,    Apprenticeship or trades certificate or diploma,,20550,14840,5705,93815,67360,26455,231445,172290,59155
 Highest certificate; diploma or degree,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,148,9580,5605,3975,43160,24930,18230,97350,56920,40435
 Highest certificate; diploma or degree,      Certificate of Apprenticeship or Certificate of Qualification,149,10965,9235,1730,50650,42425,8225,134095,115370,18725
 Highest certificate; diploma or degree,    College; CEGEP or other non-university certificate or diploma,,54145,21675,32470,267625,112740,154880,528805,210880,317925
 Highest certificate; diploma or degree,    University certificate or diploma below bachelor level,,12305,5345,6960,58545,24490,34055,99695,39205,60490
 Highest certificate; diploma or degree,    University certificate; diploma or degree at bachelor level or above,,75915,34705,41215,521700,240315,281385,758015,339415,418605
 Highest certificate; diploma or degree,      Bachelor's degree,,50675,22865,27810,342235,154945,187290,497845,219005,278840
 Highest certificate; diploma or degree,      University certificate or diploma above bachelor level,,5340,2190,3150,35945,14735,21210,52955,20995,31965
 Highest certificate; diploma or degree,      Degree in medicine; dentistry; veterinary medicine or optometry,,2150,1110,1040,14490,7215,7280,22440,11665,10775
 Highest certificate; diploma or degree,      Master's degree,,16205,7515,8690,111335,53025,58305,159740,73335,86405
 Highest certificate; diploma or degree,      Earned doctorate,150,1545,1020,525,17695,10395,7300,25030,14420,10615
Major field of study - Classification of Instructional Programs (CIP) 2016,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,151,419065,205530,213540,2064610,998830,1065780,3870380,1882770,1987610
Major field of study - Classification of Instructional Programs (CIP) 2016,  No postsecondary certificate; diploma or degree,152,213985,106425,107555,877080,428030,449050,1740205,854900,885300
Major field of study - Classification of Instructional Programs (CIP) 2016,  Education,,12685,2720,9965,69880,15410,54465,144100,34915,109185
Major field of study - Classification of Instructional Programs (CIP) 2016,    13. Education,,12690,2720,9970,69880,15415,54465,144100,34910,109185
Major field of study - Classification of Instructional Programs (CIP) 2016,  Visual and performing arts; and communications technologies,,6635,2960,3675,67210,31005,36200,98735,44465,54275
Major field of study - Classification of Instructional Programs (CIP) 2016,    10. Communications technologies/technicians and support services,,1330,1025,310,11495,8715,2780,16970,12880,4090
Major field of study - Classification of Instructional Programs (CIP) 2016,    50. Visual and performing arts,,5300,1935,3370,55710,22295,33420,81765,31580,50185
Major field of study - Classification of Instructional Programs (CIP) 2016,  Humanities,,15085,6005,9085,79940,30295,49650,124600,49025,75575
Major field of study - Classification of Instructional Programs (CIP) 2016,    16. Aboriginal and foreign languages; literatures and linguistics,,1795,450,1345,11125,2575,8545,15235,3675,11555
Major field of study - Classification of Instructional Programs (CIP) 2016,    23. English language and literature/letters,,2945,880,2065,22630,7010,15625,34710,10845,23865
Major field of study - Classification of Instructional Programs (CIP) 2016,    24. Liberal arts and sciences; general studies and humanities,,6925,2750,4170,24845,9590,15260,35720,13670,22050
Major field of study - Classification of Instructional Programs (CIP) 2016,    30A Interdisciplinary humanities,153,45,30,15,345,135,210,585,210,375
Major field of study - Classification of Instructional Programs (CIP) 2016,    38. Philosophy and religious studies,,470,290,180,4010,2390,1620,6710,4050,2660
Major field of study - Classification of Instructional Programs (CIP) 2016,    39. Theology and religious vocations,,1230,775,450,5345,3190,2160,12275,7400,4880
Major field of study - Classification of Instructional Programs (CIP) 2016,    54. History,,1505,785,720,9335,4975,4360,15780,8475,7300
Major field of study - Classification of Instructional Programs (CIP) 2016,    55. French language and literature/letters,,165,35,135,2305,430,1870,3580,705,2880
Major field of study - Classification of Instructional Programs (CIP) 2016,  Social and behavioural sciences and law,,21680,7315,14365,155565,57725,97840,245990,87960,158025
Major field of study - Classification of Instructional Programs (CIP) 2016,    05. Area; ethnic; cultural; gender; and group studies,,180,35,145,2610,690,1925,4120,1060,3060
Major field of study - Classification of Instructional Programs (CIP) 2016,    09. Communication; journalism and related programs,,1670,600,1070,16575,5980,10595,23180,8505,14680
Major field of study - Classification of Instructional Programs (CIP) 2016,    19. Family and consumer sciences/human sciences,,3715,210,3505,19095,1740,17350,38070,3285,34785
Major field of study - Classification of Instructional Programs (CIP) 2016,    22. Legal professions and studies,,3200,990,2210,24595,9275,15320,38505,13545,24955
Major field of study - Classification of Instructional Programs (CIP) 2016,    30B Interdisciplinary social and behavioural sciences,154,275,60,210,2635,775,1860,4325,1345,2985
Major field of study - Classification of Instructional Programs (CIP) 2016,    42. Psychology,,3540,935,2600,26775,7545,19235,43230,12480,30750
Major field of study - Classification of Instructional Programs (CIP) 2016,    45. Social sciences,,9095,4475,4625,63280,31730,31550,94560,47755,46810
Major field of study - Classification of Instructional Programs (CIP) 2016,  Business; management and public administration,,43715,18845,24870,260400,112020,148380,426460,166470,259990
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.16 Accounting and computer science,,75,15,60,415,130,290,775,215,560
Major field of study - Classification of Instructional Programs (CIP) 2016,    44. Public administration and social service professions,,1705,440,1270,10235,2470,7765,26520,5960,20565
Major field of study - Classification of Instructional Programs (CIP) 2016,    52. Business; management; marketing and related support services,,41930,18395,23540,249745,109420,140320,399160,160295,238865
Major field of study - Classification of Instructional Programs (CIP) 2016,  Physical and life sciences and technologies,,8185,4220,3960,55940,29305,26640,86425,46070,40355
Major field of study - Classification of Instructional Programs (CIP) 2016,    26. Biological and biomedical sciences,,2795,1215,1585,22715,10225,12490,36760,16800,19960
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.01 Biological and physical sciences,,2770,1395,1375,13390,6570,6820,19025,9400,9620
Major field of study - Classification of Instructional Programs (CIP) 2016,    30C Other interdisciplinary physical and life sciences,155,60,10,50,635,160,470,835,225,610
Major field of study - Classification of Instructional Programs (CIP) 2016,    40. Physical sciences,,2210,1485,725,17610,11790,5815,26370,18395,7975
Major field of study - Classification of Instructional Programs (CIP) 2016,    41. Science technologies/technicians,,345,115,230,1600,565,1035,3440,1255,2185
Major field of study - Classification of Instructional Programs (CIP) 2016,  Mathematics; computer and information sciences,,9495,6050,3450,56690,37010,19680,80070,51490,28575
Major field of study - Classification of Instructional Programs (CIP) 2016,    11. Computer and information sciences and support services,,7915,5305,2605,44920,31725,13190,62795,43900,18890
Major field of study - Classification of Instructional Programs (CIP) 2016,    25. Library science,,300,30,270,3210,480,2725,5560,755,4805
Major field of study - Classification of Instructional Programs (CIP) 2016,    27. Mathematics and statistics,,1225,685,540,7975,4430,3550,10875,6295,4580
Major field of study - Classification of Instructional Programs (CIP) 2016,    30D Interdisciplinary mathematics; computer and information sciences,156,60,30,30,595,375,215,835,540,300
Major field of study - Classification of Instructional Programs (CIP) 2016,  Architecture; engineering; and related technologies,,41590,37775,3805,211910,186360,25555,427670,388335,39340
Major field of study - Classification of Instructional Programs (CIP) 2016,    04. Architecture and related services,,1130,770,360,11380,7200,4185,15490,9985,5505
Major field of study - Classification of Instructional Programs (CIP) 2016,    14. Engineering,,11810,9820,1995,74080,59710,14370,98455,81055,17395
Major field of study - Classification of Instructional Programs (CIP) 2016,    15. Engineering technologies and engineering-related fields,,6965,6190,775,33830,29890,3940,68500,60490,8010
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.12 Historic preservation and conservation,,0,0,0,35,25,15,90,25,65
Major field of study - Classification of Instructional Programs (CIP) 2016,    46. Construction trades,,8830,8540,290,39190,37980,1215,100765,97615,3150
Major field of study - Classification of Instructional Programs (CIP) 2016,    47. Mechanic and repair technologies/technicians,,8440,8200,240,35810,34715,1095,97720,94520,3200
Major field of study - Classification of Instructional Programs (CIP) 2016,    48. Precision production,,4400,4255,150,17580,16840,745,46660,44650,2015
Major field of study - Classification of Instructional Programs (CIP) 2016,  Agriculture; natural resources and conservation,,2630,1690,940,16890,9535,7355,50210,31680,18525
Major field of study - Classification of Instructional Programs (CIP) 2016,    01. Agriculture; agriculture operations and related sciences,,1870,1145,725,10385,5480,4905,24950,13670,11275
Major field of study - Classification of Instructional Programs (CIP) 2016,    03. Natural resources and conservation,,755,545,215,6505,4060,2450,25260,18010,7250
Major field of study - Classification of Instructional Programs (CIP) 2016,  Health and related fields,,32695,6505,26195,159905,36460,123445,322715,65735,256975
Major field of study - Classification of Instructional Programs (CIP) 2016,    31. Parks; recreation; leisure and fitness studies,,1740,880,860,12705,6580,6125,23740,11920,11820
Major field of study - Classification of Instructional Programs (CIP) 2016,    51. Health professions and related programs,,30415,5305,25110,141905,26980,114930,290645,48985,241655
Major field of study - Classification of Instructional Programs (CIP) 2016,    60. Dental; medical and veterinary residency programs,,540,315,225,5300,2910,2390,8330,4835,3495
Major field of study - Classification of Instructional Programs (CIP) 2016,  Personal; protective and transportation services,,10670,5010,5660,52975,25595,27375,122855,61605,61250
Major field of study - Classification of Instructional Programs (CIP) 2016,    12. Personal and culinary services,,6920,1915,5005,36770,12025,24740,79740,24860,54885
Major field of study - Classification of Instructional Programs (CIP) 2016,    28. Military science; leadership and operational art,,25,25,0,90,85,0,320,290,30
Major field of study - Classification of Instructional Programs (CIP) 2016,    29. Military technologies and applied sciences,,55,50,0,265,255,15,1235,1120,115
Major field of study - Classification of Instructional Programs (CIP) 2016,    43. Security and protective services,,1515,1090,430,5915,4425,1490,13935,10390,3545
Major field of study - Classification of Instructional Programs (CIP) 2016,    49. Transportation and materials moving,,2155,1930,230,9935,8810,1125,27620,24945,2680
Major field of study - Classification of Instructional Programs (CIP) 2016,  Other,,10,10,0,220,70,155,355,115,240
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.99 Multidisciplinary/interdisciplinary studies; other,,15,10,10,225,70,150,350,115,240
Major field of study - Classification of Instructional Programs (CIP) 2016,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,151,280900,136390,144510,1392435,671970,720475,2532980,1227040,1305935
Major field of study - Classification of Instructional Programs (CIP) 2016,  No postsecondary certificate; diploma or degree,152,117990,59825,58160,450760,227065,223690,915015,465250,449765
Major field of study - Classification of Instructional Programs (CIP) 2016,  Education,,9000,1710,7295,49160,10165,38995,96005,21035,74970
Major field of study - Classification of Instructional Programs (CIP) 2016,    13. Education,,9005,1705,7295,49160,10165,38995,96010,21035,74975
Major field of study - Classification of Instructional Programs (CIP) 2016,  Visual and performing arts; and communications technologies,,5190,2260,2930,54535,25045,29485,77655,34430,43225
Major field of study - Classification of Instructional Programs (CIP) 2016,    10. Communications technologies/technicians and support services,,960,745,215,9120,6970,2145,12710,9580,3130
Major field of study - Classification of Instructional Programs (CIP) 2016,    50. Visual and performing arts,,4230,1510,2715,45420,18075,27340,64940,24845,40090
Major field of study - Classification of Instructional Programs (CIP) 2016,  Humanities,,12220,4540,7680,62805,23065,39740,93605,35490,58115
Major field of study - Classification of Instructional Programs (CIP) 2016,    16. Aboriginal and foreign languages; literatures and linguistics,,1445,325,1125,8935,1885,7060,11710,2510,9195
Major field of study - Classification of Instructional Programs (CIP) 2016,    23. English language and literature/letters,,2270,595,1680,17555,5320,12235,25665,7810,17850
Major field of study - Classification of Instructional Programs (CIP) 2016,    24. Liberal arts and sciences; general studies and humanities,,5840,2190,3650,20030,7495,12530,28260,10505,17750
Major field of study - Classification of Instructional Programs (CIP) 2016,    30A Interdisciplinary humanities,153,40,30,10,270,115,155,425,170,255
Major field of study - Classification of Instructional Programs (CIP) 2016,    38. Philosophy and religious studies,,375,230,155,3140,1830,1310,4970,2960,2010
Major field of study - Classification of Instructional Programs (CIP) 2016,    39. Theology and religious vocations,,900,540,365,3965,2345,1620,8330,4945,3385
Major field of study - Classification of Instructional Programs (CIP) 2016,    54. History,,1215,605,615,7210,3750,3460,11805,6140,5665
Major field of study - Classification of Instructional Programs (CIP) 2016,    55. French language and literature/letters,,125,40,90,1710,325,1380,2445,455,2000
Major field of study - Classification of Instructional Programs (CIP) 2016,  Social and behavioural sciences and law,,17595,5695,11905,127395,45820,81575,196450,67000,129450
Major field of study - Classification of Instructional Programs (CIP) 2016,    05. Area; ethnic; cultural; gender; and group studies,,160,30,125,2270,580,1685,3460,845,2615
Major field of study - Classification of Instructional Programs (CIP) 2016,    09. Communication; journalism and related programs,,1405,510,890,14210,5005,9205,19685,6940,12750
Major field of study - Classification of Instructional Programs (CIP) 2016,    19. Family and consumer sciences/human sciences,,3085,180,2905,15160,1385,13775,29855,2505,27350
Major field of study - Classification of Instructional Programs (CIP) 2016,    22. Legal professions and studies,,2615,760,1855,20290,6915,13375,31190,9665,21525
Major field of study - Classification of Instructional Programs (CIP) 2016,    30B Interdisciplinary social and behavioural sciences,154,220,40,180,2135,615,1515,3540,1110,2425
Major field of study - Classification of Instructional Programs (CIP) 2016,    42. Psychology,,2805,700,2105,21465,5815,15650,33055,8845,24210
Major field of study - Classification of Instructional Programs (CIP) 2016,    45. Social sciences,,7310,3470,3840,51875,25505,26370,75665,37095,38575
Major field of study - Classification of Instructional Programs (CIP) 2016,  Business; management and public administration,,35995,15310,20685,213390,90380,123010,335220,128975,206245
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.16 Accounting and computer science,,60,20,40,310,110,205,540,170,365
Major field of study - Classification of Instructional Programs (CIP) 2016,    44. Public administration and social service professions,,1385,350,1035,8095,1895,6200,20695,4240,16455
Major field of study - Classification of Instructional Programs (CIP) 2016,    52. Business; management; marketing and related support services,,34550,14945,19605,204980,88375,116610,313985,124565,189425
Major field of study - Classification of Instructional Programs (CIP) 2016,  Physical and life sciences and technologies,,6035,2950,3080,42720,21690,21025,63705,32325,31385
Major field of study - Classification of Instructional Programs (CIP) 2016,    26. Biological and biomedical sciences,,2180,920,1255,18145,8020,10125,28505,12595,15915
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.01 Biological and physical sciences,,1925,890,1040,9880,4680,5190,13825,6570,7260
Major field of study - Classification of Instructional Programs (CIP) 2016,    30C Other interdisciplinary physical and life sciences,155,45,0,45,500,120,380,645,160,485
Major field of study - Classification of Instructional Programs (CIP) 2016,    40. Physical sciences,,1650,1075,575,13100,8505,4600,18525,12250,6270
Major field of study - Classification of Instructional Programs (CIP) 2016,    41. Science technologies/technicians,,230,60,170,1090,370,725,2210,750,1460
Major field of study - Classification of Instructional Programs (CIP) 2016,  Mathematics; computer and information sciences,,8480,5380,3100,49880,32880,16995,68660,44820,23840
Major field of study - Classification of Instructional Programs (CIP) 2016,    11. Computer and information sciences and support services,,7205,4815,2385,40915,28950,11965,56390,39660,16725
Major field of study - Classification of Instructional Programs (CIP) 2016,    25. Library science,,240,30,205,2350,365,1980,3830,545,3290
Major field of study - Classification of Instructional Programs (CIP) 2016,    27. Mathematics and statistics,,985,510,480,6115,3265,2855,7760,4185,3570
Major field of study - Classification of Instructional Programs (CIP) 2016,    30D Interdisciplinary mathematics; computer and information sciences,156,55,20,30,500,305,190,680,430,250
Major field of study - Classification of Instructional Programs (CIP) 2016,  Architecture; engineering; and related technologies,,31650,28295,3350,162555,140255,22295,310855,277375,33475
Major field of study - Classification of Instructional Programs (CIP) 2016,    04. Architecture and related services,,930,615,315,9170,5455,3720,12110,7240,4875
Major field of study - Classification of Instructional Programs (CIP) 2016,    14. Engineering,,9670,7850,1820,60355,47375,12980,76935,61380,15560
Major field of study - Classification of Instructional Programs (CIP) 2016,    15. Engineering technologies and engineering-related fields,,5070,4410,660,24980,21790,3195,48690,42285,6405
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.12 Historic preservation and conservation,,0,0,0,30,20,10,65,20,45
Major field of study - Classification of Instructional Programs (CIP) 2016,    46. Construction trades,,6545,6295,250,29305,28340,965,72800,70225,2570
Major field of study - Classification of Instructional Programs (CIP) 2016,    47. Mechanic and repair technologies/technicians,,6335,6155,175,26760,25920,840,69025,66545,2480
Major field of study - Classification of Instructional Programs (CIP) 2016,    48. Precision production,,3100,2975,125,11945,11360,585,31225,29690,1535
Major field of study - Classification of Instructional Programs (CIP) 2016,  Agriculture; natural resources and conservation,,2010,1275,735,13480,7310,6175,39360,23810,15555
Major field of study - Classification of Instructional Programs (CIP) 2016,    01. Agriculture; agriculture operations and related sciences,,1440,885,555,8225,4160,4060,18965,9875,9090
Major field of study - Classification of Instructional Programs (CIP) 2016,    03. Natural resources and conservation,,575,390,180,5255,3150,2110,20395,13930,6470
Major field of study - Classification of Instructional Programs (CIP) 2016,  Health and related fields,,26520,5315,21205,125490,28745,96745,244975,50520,194460
Major field of study - Classification of Instructional Programs (CIP) 2016,    31. Parks; recreation; leisure and fitness studies,,1360,670,685,10075,5185,4890,18900,9380,9520
Major field of study - Classification of Instructional Programs (CIP) 2016,    51. Health professions and related programs,,24680,4380,20300,111260,21465,89795,219800,37800,182000
Major field of study - Classification of Instructional Programs (CIP) 2016,    60. Dental; medical and veterinary residency programs,,480,265,220,4150,2095,2055,6285,3340,2940
Major field of study - Classification of Instructional Programs (CIP) 2016,  Personal; protective and transportation services,,8210,3820,4395,40090,19480,20615,91185,45925,45265
Major field of study - Classification of Instructional Programs (CIP) 2016,    12. Personal and culinary services,,5255,1410,3840,27525,9115,18415,58820,18880,39945
Major field of study - Classification of Instructional Programs (CIP) 2016,    28. Military science; leadership and operational art,,10,10,0,50,40,0,195,165,30
Major field of study - Classification of Instructional Programs (CIP) 2016,    29. Military technologies and applied sciences,,15,20,0,100,95,0,570,505,65
Major field of study - Classification of Instructional Programs (CIP) 2016,    43. Security and protective services,,1215,855,360,4830,3550,1285,11175,8110,3060
Major field of study - Classification of Instructional Programs (CIP) 2016,    49. Transportation and materials moving,,1705,1515,190,7590,6675,915,20430,18265,2165
Major field of study - Classification of Instructional Programs (CIP) 2016,  Other,,15,10,0,180,55,125,275,85,185
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.99 Multidisciplinary/interdisciplinary studies; other,,10,10,0,180,55,125,270,85,185
Location of study compared with province or territory of residence with countries outside Canada,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,157,419060,205525,213535,2064610,998830,1065785,3870380,1882770,1987610
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,,213980,106425,107555,877080,428030,449050,1740205,854900,885300
