,BRITISH_COLUMBIA,CITY_OF_SURREY,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY_INCLUDING_CITY_CENTRE
        Burkinabe,0,0,0,0,0,0,0,0,0,0
        Cameroonian,80,0,0,0,0,0,0,0,0,0
        Chadian,0,0,0,0,0,0,0,0,0,0
        Congolese,310,40,0,0,0,0,0,0,0,0
        Gabonese,0,0,0,0,0,0,0,0,0,0
        Gambian,20,0,0,0,0,0,0,0,0,0
        Ghanaian,550,165,0,0,50,25,50,0,25,30
        Guinean,25,0,0,0,0,0,0,0,0,0
        Ibo,70,30,0,0,0,0,30,0,0,0
        Ivorian,0,0,0,0,0,0,0,0,0,0
        Liberian,145,45,0,0,0,25,0,0,15,20
        Malian,40,0,0,0,0,0,0,0,0,0
        Nigerian,955,290,50,105,15,90,0,0,20,70
        Peulh,0,0,0,0,0,0,0,0,0,0
        Senegalese,45,0,0,0,0,0,0,0,0,0
        Sierra Leonean,35,0,0,0,0,0,0,0,0,0
        Togolese,85,45,0,0,0,0,0,0,40,45
        Yoruba,195,45,0,25,0,0,0,0,0,0
"        Central and West African origins, n.i.e.",200,30,0,0,0,0,0,0,15,10
      North African origins,3790,565,55,0,60,110,140,25,160,215
        Algerian,395,0,0,0,0,0,0,0,0,0
        Berber,120,0,0,0,0,0,0,0,0,0
        Coptic,35,0,0,0,0,0,0,0,0,0
        Dinka,25,0,0,0,0,0,0,0,0,0
        Egyptian,1655,250,0,0,15,85,85,0,35,40
        Libyan,225,15,0,0,0,0,0,0,0,0
        Maure,25,0,0,0,0,0,0,0,0,0
        Moroccan,720,85,10,0,0,0,0,0,0,25
        Sudanese,480,160,0,0,0,0,35,0,105,120
        Tunisian,160,0,0,0,0,0,0,0,0,0
"        North African origins, n.i.e.",90,0,0,0,0,0,0,0,0,0
      Southern and East African origins,9575,1240,80,125,85,185,455,160,155,235
        Afrikaner,305,40,0,0,0,0,0,0,0,0
        Amhara,80,35,0,0,0,0,0,0,0,0
"        Bantu, n.o.s.",55,0,0,0,0,0,0,0,0,0
        Burundian,85,15,0,0,0,0,15,0,0,0
        Eritrean,550,80,0,0,0,0,30,0,0,25
        Ethiopian,925,120,20,0,25,30,25,0,25,45
        Harari,0,0,0,0,0,0,0,0,0,0
        Kenyan,455,90,0,0,0,0,50,0,0,25
        Malagasy,15,0,0,0,0,0,0,0,0,0
        Mauritian,260,80,0,0,0,20,35,0,0,10
        Oromo,45,0,0,0,0,0,0,0,0,0
        Rwandan,105,45,0,0,0,0,35,0,0,0
        Seychellois,20,0,0,0,0,0,0,0,0,0
        Somali,610,295,15,0,0,35,205,0,35,50
        South African,4915,300,0,75,40,20,35,130,0,0
        Tanzanian,220,0,0,0,0,0,0,0,0,0
        Tigrian,65,0,0,0,0,0,0,0,0,0
        Ugandan,285,115,0,20,0,30,0,0,50,50
        Zambian,90,0,0,0,0,0,0,0,0,0
        Zimbabwean,370,0,0,0,0,0,0,0,0,0
        Zulu,30,0,0,0,0,0,0,0,0,0
"        Southern and East African origins, n.i.e.",610,85,0,0,0,0,25,0,20,20
      Other African origins,8055,1125,55,130,135,215,345,110,145,200
"        Black, n.o.s.",945,170,0,0,30,0,105,0,0,0
"        Other African origins, n.i.e.",7165,965,50,120,110,210,235,105,145,190
    Asian origins,535825,111340,4915,5490,16355,14345,42990,5815,21425,26345
      West Central Asian and Middle Eastern origins,39545,4000,255,165,590,990,1130,295,560,820
        Afghan,2665,700,45,0,85,115,350,0,90,135
"        Arab, n.o.s.",3180,650,25,25,40,290,105,40,130,150
        Armenian,1470,165,0,45,0,50,30,20,0,0
        Assyrian,240,60,0,0,0,40,0,0,0,10
        Azerbaijani,400,0,0,0,0,0,0,0,0,0
        Georgian,280,10,0,0,0,0,0,0,0,0
        Iranian,19760,805,80,30,160,165,195,130,50,130
        Iraqi,1680,525,40,0,75,235,105,0,65,105
        Israeli,580,0,0,0,0,0,0,0,0,0
        Jordanian,300,90,0,0,40,25,10,0,0,0
        Kazakh,105,0,0,0,0,0,0,0,0,0
        Kurd,810,75,0,0,15,20,0,0,0,20
        Kuwaiti,100,20,0,0,0,0,0,0,0,0
        Lebanese,3205,385,0,0,100,35,115,50,70,80
        Palestinian,935,270,0,0,85,35,40,0,85,90
        Pashtun,155,65,0,0,0,0,40,0,0,10
        Saudi Arabian,900,0,0,0,0,0,0,0,0,0
        Syrian,960,75,0,0,0,10,25,0,20,20
        Tajik,210,35,0,0,0,0,25,0,0,0
        Tatar,155,0,0,0,0,0,0,0,0,0
        Turk,2965,270,30,0,25,55,85,40,20,45
        Uighur,50,0,0,0,0,0,0,0,0,0
        Uzbek,125,0,0,0,0,0,0,0,0,0
        Yemeni,125,30,0,0,0,0,0,0,0,0
"        West Central Asian and Middle Eastern origins, n.i.e.",800,130,20,0,0,60,30,10,0,30
      South Asian origins,156025,68730,1265,2770,8100,2935,35845,1545,16265,17535
        Bangladeshi,645,135,40,0,0,0,25,0,35,80
        Bengali,330,85,0,0,20,0,40,0,0,0
        East Indian,137090,61080,1000,2610,7320,2450,31515,1405,14785,15785
        Goan,150,10,0,0,0,0,0,0,0,0
        Gujarati,240,75,0,0,0,0,0,0,20,25
        Kashmiri,30,0,0,0,0,0,0,0,0,0
        Nepali,570,175,0,0,0,0,105,0,45,55
        Pakistani,5180,2325,65,50,240,165,1540,50,210,275
        Punjabi,12115,5930,100,110,505,220,3385,165,1445,1545
        Sinhalese,310,75,0,0,30,20,0,0,15,20
        Sri Lankan,2690,635,50,30,105,140,195,10,100,150
        Tamil,645,125,0,0,40,20,45,0,15,15
"        South Asian origins, n.i.e.",2275,835,20,0,115,45,475,0,165,190
      East and Southeast Asian origins,342840,39080,3405,2615,7725,10440,6265,3995,4635,8045
        Burmese,1025,230,70,0,40,50,20,0,55,120
        Cambodian (Khmer),1195,430,50,140,75,45,30,0,95,145
        Chinese,220435,15450,1295,920,2795,4065,2345,2580,1445,2745
        Filipino,58505,12870,1040,740,2635,3295,2825,320,2025,3060
        Hmong,120,0,0,0,0,0,0,0,0,0
        Indonesian,2685,375,25,90,20,50,90,40,65,95
        Japanese,19985,1500,85,285,285,180,285,205,175,260
        Korean,26155,4325,560,380,915,1740,120,505,105,660
        Laotian,975,490,120,0,160,135,15,0,50,165
        Malaysian,1980,360,0,25,65,115,115,0,35,40
        Mongolian,605,40,0,0,0,0,30,0,0,0
        Singaporean,460,80,0,0,0,0,45,0,0,0
        Taiwanese,8235,1335,85,25,165,420,175,425,40,125
        Thai,1495,260,25,0,20,60,20,80,35,65
        Tibetan,175,20,0,0,0,0,0,0,0,0
        Vietnamese,16965,4125,285,200,1105,880,760,35,870,1155
"        East and Southeast Asian origins, n.i.e.",625,235,20,0,0,20,30,0,120,145
      Other Asian origins,970,205,20,0,0,85,45,20,10,35
"        Other Asian origins, n.i.e.",970,205,20,0,0,85,45,20,10,30
    Oceania origins,17425,4425,105,315,585,290,1525,185,1415,1520
      Australian,6345,320,0,110,0,20,65,95,10,20
      New Zealander,2805,115,0,30,0,0,35,30,0,0
      Pacific Islands origins,8480,4000,95,185,575,250,1435,60,1405,1500
        Fijian,6760,3900,95,160,575,240,1415,0,1395,1485
        Hawaiian,925,25,0,0,0,0,0,0,0,0
        Maori,355,20,0,0,0,0,0,0,0,0
"        Polynesian, n.o.s.",180,30,0,0,0,0,0,0,0,0
        Samoan,210,25,0,0,0,0,0,0,0,0
"        Pacific Islands origins, n.i.e.",215,20,0,0,0,0,0,0,0,0
  Females in private households by ethnic origins,2198830,233535,10910,27400,29405,29410,66310,35125,34970,45880
    North American Aboriginal origins,138210,7145,625,1245,680,945,1685,795,1165,1795
      First Nations (North American Indian),104720,4885,415,745,460,740,1250,455,820,1230
      Inuit,1340,65,0,0,0,0,45,0,0,0
      Métis,36670,2540,225,525,240,250,525,350,415,640
    Other North American origins,443570,36465,1645,6480,3945,4000,7930,7810,4640,6285
      Acadian,1640,120,0,35,20,0,0,40,0,0
      American,40135,2430,105,440,445,165,430,680,170,275
      Canadian,414125,34645,1540,6180,3655,3885,7635,7255,4500,6040
      New Brunswicker,15,0,0,0,0,0,0,0,0,0
      Newfoundlander,615,0,0,0,0,0,0,0,0,0
      Nova Scotian,75,0,0,0,0,0,0,0,0,0
      Ontarian,55,0,0,0,0,0,0,0,0,0
      Québécois,800,25,0,0,0,0,0,0,0,0
"      Other North American origins, n.i.e.",355,20,0,0,0,0,0,0,0,0
    European origins,1424990,100175,4820,19175,10875,12555,17725,25765,9260,14085
      British Isles origins,968740,64950,2570,12915,6500,7585,11895,18060,5430,8000
        Channel Islander,185,0,0,0,0,0,0,0,0,0
        Cornish,260,20,0,0,0,0,0,0,0,0
        English,614735,40675,1380,7920,4275,4635,7530,11635,3300,4685
        Irish,338675,21590,990,4415,2005,2260,4330,5865,1720,2705
        Manx,765,45,0,0,0,0,0,35,0,0
        Scottish,428680,28760,1140,6015,2785,3450,5240,7850,2280,3415
        Welsh,56920,3925,255,735,400,675,570,985,305,565
"        British Isles origins, n.i.e.",55920,3580,160,815,320,465,600,940,295,450
      French origins,193250,12050,670,2250,1390,1330,2465,2670,1285,1955
        Alsatian,160,0,0,0,0,0,0,0,0,0
        Breton,135,0,0,0,0,0,0,0,0,0
        French,193010,12045,670,2250,1385,1325,2465,2665,1285,1955
      Western European origins (except French origins),406515,28245,1280,6185,3400,3615,4535,6760,2460,3745
        Austrian,23435,1690,100,395,215,195,215,385,185,285
        Belgian,9630,580,45,95,55,50,100,145,80,130
        Dutch,103185,7525,220,1810,1135,1060,1185,1595,525,745
        Flemish,1130,60,0,0,0,0,0,20,0,0
        Frisian,490,15,0,0,0,0,0,0,0,0
        German,290130,19890,910,4230,2270,2520,3220,4935,1800,2710
        Luxembourger,380,45,0,0,0,0,0,25,0,0
        Swiss,15270,885,0,110,60,130,140,330,50,115
"        Western European origins, n.i.e.",250,15,0,0,0,0,0,0,0,0
      Northern European origins (except British Isles origins),172335,11200,260,2540,1170,1380,1705,3255,885,1150
        Danish,29390,2065,40,575,155,270,340,570,115,155
        Finnish,16125,1000,20,255,85,180,190,175,95,110
        Icelandic,11710,795,0,265,75,110,90,170,65,80
        Norwegian,69175,4595,100,1055,445,605,610,1410,370,470
        Swedish,56340,3460,80,555,435,360,550,1150,325,410
"        Northern European origins, n.i.e.",5885,325,0,55,30,60,45,100,20,35
      Eastern European origins,265730,19470,1335,3740,1900,2645,3095,4935,1825,3160
        Bulgarian,1585,20,0,0,0,0,0,0,0,0
        Byelorussian,1060,105,45,0,0,0,0,0,0,55
        Czech,9695,680,20,105,60,105,135,190,75,95
"        Czechoslovakian, n.o.s.",4020,405,0,160,0,55,70,90,0,10
        Estonian,2165,125,0,0,0,0,25,70,0,0
        Hungarian,25810,2000,95,365,170,270,410,525,155,250
        Latvian,1940,150,0,30,30,0,10,50,0,0
        Lithuanian,3065,100,10,20,20,0,15,30,0,15
        Moldovan,320,20,0,0,0,0,20,0,0,0
        Polish,69290,6000,435,1055,670,925,875,1510,535,965
        Romanian,14430,995,45,160,130,165,155,235,95,140
        Russian,62885,3740,245,675,345,540,535,945,450,695
        Slovak,5210,435,15,185,20,50,50,75,45,60
        Ukrainian,106290,8060,580,1655,750,885,1285,2230,675,1255
"        Eastern European origins, n.i.e.",1025,45,0,0,0,0,15,15,0,0
      Southern European origins,153165,12940,765,2035,1865,2070,2560,2310,1340,2105
        Albanian,655,70,0,15,15,15,0,0,0,15
        Bosnian,1355,95,10,15,15,15,0,35,0,15
        Croatian,9760,645,25,75,75,105,115,170,85,105
        Cypriot,130,15,0,0,0,0,0,15,0,0
        Greek,9755,935,20,195,125,120,110,225,140,160
        Italian,74985,5120,205,1040,690,720,925,1170,375,580
        Kosovar,145,45,0,0,0,40,0,0,0,0
        Macedonian,505,30,0,0,0,0,0,0,0,0
        Maltese,1155,90,0,0,0,0,0,45,0,0
        Montenegrin,200,15,0,0,0,0,0,0,0,0
        Portuguese,18375,1900,150,260,295,245,390,225,335,485
        Serbian,4965,250,25,45,15,35,25,80,20,45
        Sicilian,275,0,0,0,0,0,0,0,0,0
        Slovenian,2475,210,0,90,40,0,45,20,0,0
        Spanish,33055,3860,345,365,615,770,985,370,415,760
"        Yugoslavian, n.o.s.",4390,400,0,85,45,40,90,115,30,35
"        Southern European origins, n.i.e.",160,0,0,0,0,0,0,0,0,0
      Other European origins,22110,1330,90,200,95,165,215,415,155,240
        Basque,310,20,0,0,0,0,0,0,0,0
        Jewish,15785,715,25,145,65,50,105,250,65,95
        Roma (Gypsy),575,40,0,0,0,0,0,0,0,0
"        Slavic, n.o.s.",455,20,0,0,0,0,0,15,0,0
"        Other European origins, n.i.e.",5140,550,60,35,30,70,105,160,90,150
    Caribbean origins,9810,1410,200,135,115,240,360,150,200,410
      Antiguan,70,0,0,0,0,0,0,0,0,0
      Bahamian,135,0,0,0,0,0,0,0,0,0
      Barbadian,715,90,0,0,0,45,0,0,0,0
      Bermudan,155,0,0,0,0,0,0,0,0,0
      Carib,75,0,0,0,0,0,0,0,0,0
      Cuban,550,65,20,0,0,0,10,20,0,20
      Dominican,280,50,0,0,0,0,0,0,0,0
      Grenadian,130,0,0,0,0,0,0,0,0,0
      Haitian,350,25,0,0,0,0,0,0,0,0
      Jamaican,4005,630,70,90,40,105,150,55,120,185
      Kittitian/Nevisian,30,0,0,0,0,0,0,0,0,0
      Martinican,0,0,0,0,0,0,0,0,0,0
      Montserratan,0,0,0,0,0,0,0,0,0,0
      Puerto Rican,230,35,0,0,0,0,0,0,0,0
      St. Lucian,40,0,0,0,0,0,0,0,0,0
      Trinidadian/Tobagonian,1800,295,60,10,0,55,120,0,30,90
      Vincentian/Grenadinian,110,30,0,0,20,0,0,0,0,0
"      West Indian, n.o.s.",935,155,0,0,25,35,45,0,0,20
"      Caribbean origins, n.i.e.",590,50,20,0,0,0,0,0,0,25
"    Latin, Central and South American origins",27120,3310,260,435,365,425,930,275,615,880
      Aboriginal from Central/South America (except Maya),1060,95,0,0,0,15,20,0,0,55
      Argentinian,770,85,0,45,0,20,0,0,0,0
      Belizean,85,0,0,0,0,0,0,0,0,0
      Bolivian,150,0,0,0,0,0,0,0,0,0
      Brazilian,1455,85,0,0,15,0,0,0,0,30
      Chilean,2605,215,0,30,15,20,115,0,20,25
      Colombian,2240,375,0,0,45,55,110,70,45,60
      Costa Rican,400,20,0,0,0,0,0,0,0,0
      Ecuadorian,380,65,0,0,0,0,35,0,0,0
      Guatemalan,1075,190,20,0,0,25,75,0,50,70
      Guyanese,665,110,0,45,0,25,10,0,0,0
      Hispanic,600,100,0,0,0,10,20,0,0,65
      Honduran,620,130,20,0,0,10,30,0,60,75
      Maya,315,40,0,0,0,0,0,0,0,0
      Mexican,8070,675,65,95,140,90,135,115,40,105
      Nicaraguan,600,85,0,0,0,0,50,0,20,25
      Panamanian,190,65,0,0,0,0,0,0,0,0
      Paraguayan,295,0,0,0,0,0,0,0,0,0
      Peruvian,1715,125,0,40,0,0,40,0,30,25
      Salvadorean,3730,765,45,70,85,90,245,0,215,265
      Uruguayan,140,0,0,0,0,0,0,0,0,0
      Venezuelan,530,20,0,0,0,0,0,0,0,0
"      Latin, Central and South American origins, n.i.e.",1110,210,15,0,40,0,35,0,95,105
    African origins,23610,3925,365,475,460,505,1290,345,485,850
      Central and West African origins,2280,545,80,75,115,80,140,0,40,125
        Akan,35,20,0,0,0,0,15,0,0,0
        Angolan,0,0,0,0,0,0,0,0,0,0
        Ashanti,30,25,0,0,0,0,15,0,0,0
        Beninese,0,0,0,0,0,0,0,0,0,0
        Burkinabe,0,0,0,0,0,0,0,0,0,0
        Cameroonian,55,0,0,0,0,0,0,0,0,0
        Chadian,0,0,0,0,0,0,0,0,0,0
        Congolese,370,110,0,0,60,0,0,0,0,0
        Gabonese,0,0,0,0,0,0,0,0,0,0
        Gambian,0,0,0,0,0,0,0,0,0,0
        Ghanaian,550,195,15,0,75,20,60,0,15,25
        Guinean,40,0,0,0,0,0,0,0,0,0
        Ibo,105,50,0,0,0,0,0,0,0,0
        Ivorian,15,0,0,0,0,0,0,0,0,0
        Liberian,150,0,0,0,0,0,0,0,0,0
        Malian,20,0,0,0,0,0,0,0,0,0
        Nigerian,745,170,35,55,25,35,10,0,15,50
        Peulh,0,0,0,0,0,0,0,0,0,0
        Senegalese,30,0,0,0,0,0,0,0,0,0
        Sierra Leonean,20,0,0,0,0,0,0,0,0,0
        Togolese,25,0,0,0,0,0,0,0,0,0
        Yoruba,95,20,0,0,0,0,0,0,0,0
"        Central and West African origins, n.i.e.",165,20,0,0,0,0,0,0,10,10
      North African origins,3325,645,95,15,45,130,235,20,110,205
        Algerian,310,25,0,0,0,0,0,0,0,0
        Berber,65,15,0,0,0,0,20,0,0,0
        Coptic,55,0,0,0,0,0,0,0,0,0
        Dinka,0,0,0,0,0,0,0,0,0,0
        Egyptian,1490,300,0,0,35,100,90,0,55,55
        Libyan,190,0,0,0,0,0,0,0,0,0
        Maure,40,0,0,0,0,0,0,0,0,0
        Moroccan,645,50,10,0,0,0,0,0,0,15
        Sudanese,425,205,45,0,0,0,110,0,50,95
        Tunisian,160,40,0,0,0,0,0,0,0,0
"        North African origins, n.i.e.",55,0,0,0,0,0,0,0,0,0
      Southern and East African origins,10235,1345,80,195,105,145,495,130,205,280
        Afrikaner,330,0,0,0,0,0,0,0,0,0
        Amhara,50,30,0,0,0,0,0,0,0,0
"        Bantu, n.o.s.",20,0,0,0,0,0,0,0,0,0
        Burundian,70,15,0,0,0,0,0,0,0,0
        Eritrean,560,50,0,0,0,0,15,0,0,0
        Ethiopian,890,95,0,0,30,0,15,0,25,35
        Harari,0,0,0,0,0,0,0,0,0,0
        Kenyan,570,115,25,10,0,0,55,0,0,25
        Malagasy,0,0,0,0,0,0,0,0,0,0
        Mauritian,290,75,0,0,0,25,35,0,0,0
        Oromo,55,15,0,0,0,15,0,0,0,0
        Rwandan,105,40,0,0,0,0,35,0,0,0
        Seychellois,10,0,0,0,0,0,0,0,0,0
        Somali,625,285,20,0,0,20,215,0,40,55
        South African,5420,415,0,140,60,20,40,105,45,50
        Tanzanian,285,40,0,0,0,0,35,0,0,0
        Tigrian,25,0,0,0,0,0,0,0,0,0
        Ugandan,295,110,0,0,0,0,25,0,60,60
        Zambian,80,0,0,0,0,0,0,0,0,0
        Zimbabwean,285,30,0,0,0,0,15,0,0,0
        Zulu,50,0,0,0,0,0,0,0,0,0
"        Southern and East African origins, n.i.e.",635,60,0,0,0,0,15,0,0,20
      Other African origins,8145,1480,110,195,195,165,430,200,180,295
"        Black, n.o.s.",840,180,0,0,0,25,100,15,0,20
"        Other African origins, n.i.e.",7345,1305,100,185,180,140,335,185,175,280
    Asian origins,586620,114210,4910,5840,16745,15320,43270,6460,21660,26575
      West Central Asian and Middle Eastern origins,37595,3630,250,295,460,805,1110,260,445,695
        Afghan,2650,675,75,0,75,60,330,20,120,195
"        Arab, n.o.s.",2380,575,25,50,15,275,80,40,90,115
        Armenian,1870,185,0,55,25,35,60,10,0,0
        Assyrian,205,70,0,0,0,45,15,0,0,0
        Azerbaijani,375,30,0,0,0,0,0,0,0,0
        Georgian,220,0,0,0,0,0,0,0,0,0
        Iranian,19525,570,65,115,110,80,150,40,0,70
        Iraqi,1465,465,45,0,60,200,120,0,40,90
        Israeli,610,65,0,0,0,0,0,0,0,10
        Jordanian,225,60,0,0,30,25,0,0,0,0
        Kazakh,165,0,0,0,0,0,0,0,0,0
        Kurd,625,45,0,0,0,20,10,0,0,0
        Kuwaiti,55,25,0,0,0,20,0,0,0,0
        Lebanese,3225,410,0,35,50,30,160,60,60,60
        Palestinian,690,205,0,0,70,0,70,0,40,50
        Pashtun,180,100,0,0,0,0,75,0,15,20
        Saudi Arabian,590,0,0,0,0,0,0,0,0,0
        Syrian,825,85,0,0,0,30,15,0,25,30
        Tajik,195,0,0,0,0,0,0,0,0,0
        Tatar,165,0,0,0,0,0,0,0,0,0
        Turk,2535,245,0,30,0,40,75,60,25,25
        Uighur,65,0,0,0,0,0,0,0,0,0
        Uzbek,145,0,0,0,0,0,0,0,0,0
        Yemeni,75,25,0,0,0,0,0,0,15,15
"        West Central Asian and Middle Eastern origins, n.i.e.",770,85,0,0,0,55,0,0,0,0
      South Asian origins,155240,68090,1195,2565,8395,2870,35565,1425,16060,17260
        Bangladeshi,565,100,25,0,0,0,25,0,40,60
        Bengali,285,45,0,0,0,10,25,0,0,0
        East Indian,136970,60500,1035,2410,7665,2355,31275,1290,14480,15515
        Goan,120,0,0,0,0,0,0,0,0,0
        Gujarati,315,80,0,0,0,0,45,0,10,15
        Kashmiri,35,0,0,0,0,0,0,0,0,0
        Nepali,685,195,0,0,0,20,105,0,50,60
        Pakistani,4595,2280,65,70,295,150,1445,30,215,285
        Punjabi,12125,5815,80,80,480,220,3265,160,1530,1610
        Sinhalese,285,65,0,0,20,20,0,0,15,20
        Sri Lankan,2520,480,35,30,85,150,135,0,60,90
        Tamil,615,130,0,0,35,30,45,0,20,20
"        South Asian origins, n.i.e.",2190,890,0,35,110,70,465,20,175,185
      East and Southeast Asian origins,396575,42935,3495,3010,7940,11640,6795,4805,5250,8740
        Burmese,1135,280,65,0,80,60,25,15,20,85
        Cambodian (Khmer),1195,460,55,125,100,15,70,0,100,155
        Chinese,244365,16810,1320,1160,2875,4580,2285,2990,1600,2920
        Filipino,77490,14990,1110,905,2955,3855,3250,455,2460,3570
        Hmong,80,0,0,0,0,0,0,0,0,0
        Indonesian,2855,300,25,35,35,40,100,45,20,50
        Japanese,25910,1755,115,285,255,290,350,275,180,295
        Korean,29295,4275,420,370,840,1845,120,625,60,480
        Laotian,1040,415,65,0,145,105,25,0,60,125
        Malaysian,2370,355,0,10,50,65,125,30,50,80
        Mongolian,740,60,0,0,0,0,25,15,0,15
        Singaporean,475,70,15,0,0,20,35,0,0,15
        Taiwanese,8970,1405,80,20,160,540,175,370,50,130
        Thai,2370,375,15,0,65,55,25,130,65,80
        Tibetan,130,25,0,0,0,0,0,0,0,0
        Vietnamese,18885,4560,455,320,1020,980,775,25,990,1440
"        East and Southeast Asian origins, n.i.e.",710,200,10,0,35,15,20,0,105,115
      Other Asian origins,1185,305,30,30,55,85,85,0,15,40
"        Other Asian origins, n.i.e.",1180,305,25,25,60,85,85,0,15,40
    Oceania origins,18340,4580,165,315,520,340,1580,210,1455,1620
      Australian,6415,355,0,100,0,35,55,110,20,45
      New Zealander,2915,110,0,30,0,0,30,20,0,0
      Pacific Islands origins,9210,4135,135,195,505,280,1510,70,1440,1575
        Fijian,7145,3950,85,170,500,260,1460,25,1435,1520
        Hawaiian,1105,45,0,0,0,10,20,0,0,0
        Maori,410,40,0,0,0,0,15,20,0,0
"        Polynesian, n.o.s.",220,35,0,0,0,0,0,0,0,0
        Samoan,165,35,0,0,0,0,0,0,0,0
"        Pacific Islands origins, n.i.e.",370,70,0,0,0,0,0,0,0,55
Total population in private households by religion,4324460,463340,22185,54160,58190,58280,131800,67355,71370,93550
  Buddhist,90615,10520,1060,700,1985,2405,1570,1175,1630,2685
  Christian,1930415,177020,9115,25970,24300,30195,31935,35640,19865,28980
    Anglican,213975,13140,465,1890,1100,1240,2570,4695,1180,1645
    Baptist,91570,8665,385,1305,1255,1465,1390,1755,1105,1495
    Catholic,650360,64185,3580,8285,10170,12180,12130,10060,7795,11370
    Christian Orthodox,39850,3600,225,480,375,735,430,795,555,785
    Lutheran,71470,5960,170,1475,455,695,865,1805,490,660
    Pentecostal,58300,7400,265,1215,1200,2020,1320,585,780,1050
    Presbyterian,44635,4100,200,615,495,925,565,960,340,545
    United Church,222225,15150,520,2435,1640,1465,2515,5325,1255,1780
    Other Christian,538030,54820,3300,8275,7615,9475,10145,9655,6355,9660
  Hindu,45790,16790,420,530,2165,880,7805,255,4720,5145
  Jewish,23135,1105,95,150,30,100,140,495,90,190
  Muslim,79310,18345,930,460,1980,2075,9035,610,3260,4190
  Sikh,201105,104725,1275,4025,12815,3660,55275,2095,25570,26845
  Traditional (Aboriginal) Spirituality,10295,185,0,0,30,0,70,0,65,70
  Other religions,35500,2010,155,210,200,355,295,525,270,420
  No religious affiliation,1908285,132640,9125,22080,14695,18605,25675,26555,15900,25025
  Males in private households by religion,2125625,229805,11275,26760,28785,28870,65490,32230,36405,47675
    Buddhist,40175,4915,455,280,1030,1120,725,490,810,1270
    Christian,883680,82640,4240,11955,11550,14430,14875,16080,9505,13745
      Anglican,94330,5890,220,845,480,705,1075,2110,460,680
      Baptist,41570,3960,185,605,520,640,595,835,585,770
      Catholic,303300,30200,1655,3780,4870,5785,5695,4725,3690,5345
      Christian Orthodox,19475,1690,120,235,190,405,210,295,240,355
      Lutheran,32205,2685,60,740,215,260,385,750,285,345
      Pentecostal,26590,3565,140,610,525,1040,655,285,305,445
      Presbyterian,19920,1885,105,310,250,460,175,420,170,270
      United Church,94020,6515,165,1005,735,635,1100,2220,650,815
      Other Christian,252270,26245,1595,3830,3765,4505,4990,4445,3125,4720
    Hindu,22945,8470,205,280,1075,455,3935,155,2360,2570
    Jewish,11255,565,35,75,15,50,65,250,80,110
    Muslim,39775,9200,430,195,1045,1105,4425,315,1695,2125
    Sikh,100610,52380,675,2055,6330,1775,27615,1060,12870,13545
    Traditional (Aboriginal) Spirituality,5080,90,0,0,0,0,30,0,0,0
    Other religions,14680,830,110,65,120,130,115,165,125,240
    No religious affiliation,1007420,70710,5110,11855,7615,9805,13700,13720,8910,14025
  Females in private households by religion,2198830,233530,10910,27400,29405,29410,66310,35125,34970,45885
    Buddhist,50440,5610,600,420,955,1280,840,695,815,1415
    Christian,1046735,94380,4875,14020,12750,15765,17060,19560,10360,15235
      Anglican,119645,7250,245,1050,620,535,1495,2585,725,965
      Baptist,50005,4705,205,695,735,825,795,925,525,725
      Catholic,347060,33985,1920,4505,5300,6390,6435,5335,4105,6025
      Christian Orthodox,20370,1905,110,245,180,335,220,495,315,425
      Lutheran,39265,3280,110,740,240,435,485,1060,205,315
      Pentecostal,31705,3830,125,605,680,975,665,305,480,605
      Presbyterian,24710,2215,100,305,250,470,390,540,170,270
      United Church,128205,8635,355,1425,905,825,1410,3105,605,960
      Other Christian,285770,28575,1705,4445,3850,4970,5160,5205,3240,4945
    Hindu,22845,8325,220,255,1090,420,3875,105,2360,2575
    Jewish,11875,540,65,80,15,55,75,240,0,80
    Muslim,39535,9140,500,265,930,975,4615,290,1565,2065
    Sikh,100500,52340,600,1970,6485,1890,27660,1035,12705,13300
    Traditional (Aboriginal) Spirituality,5215,85,0,0,20,0,35,0,20,25
    Other religions,20820,1180,45,155,80,225,180,360,140,180
    No religious affiliation,900865,61925,4015,10230,7080,8800,11975,12840,6990,11005
Total population in private households by Aboriginal identity,4324460,463335,22185,54160,58190,58280,131800,67355,71370,93555
  Aboriginal identity,232290,10955,1220,1660,855,1525,2660,930,2115,3330
    First Nations (North American Indian) single identity,155020,6135,770,850,430,815,1460,455,1365,2125
    Métis single identity,69475,4230,425,750,385,660,885,385,730,1160
    Inuk (Inuit) single identity,1575,175,0,0,0,0,120,0,0,0
    Multiple Aboriginal identities,2480,265,20,20,35,25,155,0,0,20
    Aboriginal identities not included elsewhere,3745,155,0,20,0,15,40,55,0,0
  Non-Aboriginal identity,4092165,452380,20965,52505,57335,56760,129140,66430,69260,90225
  Males in private households by Aboriginal identity,2125625,229805,11275,26760,28785,28870,65490,32230,36400,47675
    Aboriginal identity,113080,5200,570,760,345,715,1205,530,1075,1645
      First Nations (North American Indian) single identity,75400,2980,420,415,160,390,645,255,700,1120
      Métis single identity,33940,1935,155,320,180,310,415,190,365,520
      Inuk (Inuit) single identity,825,110,0,0,0,0,70,0,0,0
