SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE,SCHOOL_NAME,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,10,8,,14,20.4,27.9,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,10,10,,20,17.3,26.2,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,9,6,,19,23,25,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,10,10,,19.2,20,23,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,9,8,,19,21.8,27,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,9,7,,20,21.7,24.4,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,9,7,,21,21.6,27.3,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,10,7,,18,22.2,29.1,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,12,6,,20,21,25.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,13,6,,15,20.8,26,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,13,10,,22,20.9,26.9,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,13,12,,16.3,21.2,27.8,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,13,9,,22,22.8,27.8,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,14,12,,20.5,20.4,26.5,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,14,5,,20,22.7,28.4,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,15,9,,21.5,22,27,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,14,7,,21.7,23.4,28.1,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,15,12,,18.5,21.2,27.9,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636057,William Watson Elementary,1,15,14,,19.5,22.8,25.6,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,22,10,,14.3,22,25,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,20,15,,18.6,21.2,25,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,21,9,,19.3,20.9,24.9,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,21,14,,16.8,20.9,24.1,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,21,20,,21,20.2,23.6,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,19,16,,18.6,20.4,24.1,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,20,16,,16.8,20.1,21.6,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,20,13,,21.9,22.5,24.4,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,20,13,,19.3,20.6,25.6,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,20,19,,16.3,21,24.7,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636058,David Brankin Elementary,1,20,19,,19.3,21.5,24.9,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,24,6,,16.5,20.5,24.1,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,22,17,,19.1,21,23.7,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,22,13,,17.5,21.3,24.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,22,17,,17.8,19.6,24.4,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,21,19,,21.5,23,24.8,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,21,7,,19.2,20,24.9,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,20,13,,21.7,20.9,25.1,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,20,11,,21,21.7,23.7,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,19,10,,20.4,21.7,24.8,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,19,18,,19.4,22.2,25.3,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636059,Ecole Riverdale Elementary,1,20,19,,20.7,22.4,24.4,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,24,6,,16.3,21.3,26.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,27,16,,17,20.4,25.9,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,22,16,,20.7,21.6,25.7,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,23,15,,20.3,19.4,26.3,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,22,16,,18,20,28,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,20,16,,16.3,21.8,27,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,19,10,,18,20.3,25.8,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,17,15,,19.1,20.2,26.9,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,17,7,,20.6,22.2,24.9,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,16,8,,19,22,28.1,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636060,Senator Reid Elementary,1,15,15,,22,22.1,29.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,23,4,,21.3,20.3,24,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,23,9,,22,21.3,24.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,24,17,,20,21.1,26.8,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,26,14,,18,20.2,25.3,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,25,22,,20.1,22.3,24.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,26,7,,18.3,22,24.9,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,26,24,,20.5,22,24,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,25,10,,20.3,23,25.7,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,25,10,,20.4,22.1,26.9,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,25,15,,21.2,22.1,27.8,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636061,Martha Currie Elementary,1,25,8,,20.3,21.6,26.6,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,18,7,,20.8,20.6,25.1,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,17,14,,18.2,20.8,25.8,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,16,10,,19.5,19.7,25.4,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,17,14,,15.7,21,22.6,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,16,16,,18,18.9,26.3,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,16,16,,21,17.7,26.7,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,16,16,,19.7,20.5,27.9,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,16,16,,20,20.2,25.5,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,15,15,,21.6,21.7,27,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,16,15,,20,23.2,25.3,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636062,James Ardiel Elementary,1,18,15,,19.6,22.3,24.9,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,16,4,,16.8,17.7,24.2,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,15,3,,19.1,18.3,24.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,15,3,,16.4,20.1,25.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,16,8,,18.3,22.2,23.3,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,8,2,,22,24,25,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,8,1,,22,24,28.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,8,4,,22,24,29.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,8,4,,22,24,30,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,8,8,,22,24,28.8,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,8,6,,22,24,29.5,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636063,McLeod Road Traditional,1,8,7,,22,24,29.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,17,1,,21,17.6,24.9,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,16,16,,13.3,21,27.1,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,18,18,,17.3,18.7,23.4,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,17,17,,19.5,20.2,25.8,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,17,4,,16,18.9,25.6,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,17,16,,20.5,19.8,26.1,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,17,17,,18.7,20.4,25.1,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,16,8,,18.5,22.2,26.4,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,17,16,,19.4,21.1,27.3,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,18,18,,19.7,24,27.6,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636064,Old Yale Road Elementary,1,19,19,,17.7,22.1,27.5,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,21,6,,17,22.2,25.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,21,6,,17.3,21.9,26.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,19,9,,20.5,22.1,27.3,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,19,7,,16,21.9,28,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,20,13,,18,21.7,26.8,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,19,12,,21.5,22.6,28.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,19,19,,20,21.3,26.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,18,9,,16.7,21.8,28.1,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,19,10,,19,21.4,28.3,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,19,11,,19.4,22.6,27.6,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636067,Erma Stephenson Elementary,1,19,8,,20,22.7,26.8,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,21,13,,16.3,21,26.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,23,23,,19,18.2,26.2,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,22,22,,19,20.2,25.1,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,22,20,,20,19.7,24.2,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,21,18,,19.3,20,25.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,21,21,,19,19.6,26.5,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,20,20,,22,21.3,25.4,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,20,20,,19.8,22,25.9,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,20,20,,18.3,20.1,26.8,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,20,18,,19.4,21.8,25.4,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636069,Bear Creek Elementary,1,20,20,,18.3,20.1,26.8,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,22,5,,20,20.8,27,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,22,7,,19.7,21,26.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,22,7,,18.3,20.6,25.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,22,8,,20.7,22.2,26.8,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,23,21,,21.7,21.9,25.4,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,22,6,,21.3,23.2,25.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,22,8,,21.3,22,24.9,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,22,16,,20.7,22.7,24.9,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,22,18,,21,21,26.6,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,22,12,,21.2,22.8,28.2,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636070,Peace Arch Elementary,1,22,12,,20.3,22.4,28.4,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,19,8,,16.7,20.6,24.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,18,16,,20,21.6,24,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,17,15,,18.4,21,24.4,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,18,16,,20.5,18.3,23.2,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,17,16,,19.5,20,22,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,16,16,,20,20.3,25.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,16,16,,19,19.5,28.1,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,16,11,,22,19.4,25.6,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,15,8,,18,21.8,26.6,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,15,13,,16.5,22.6,26.2,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636071,Henry Bose Elementary,1,16,15,,18.2,20.3,24.6,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,26,6,,20.7,20.3,26.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,25,5,,18.4,20.5,27.6,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,25,15,,17.3,20.9,27.7,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,24,19,,21.3,20.1,25.7,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,23,22,,20,21.7,25.8,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,21,11,,18.7,20,26.9,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,22,16,,16.8,19.1,25.8,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,20,16,,19,19.9,26.8,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,20,20,1,18.8,20.9,28.3,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,19,14,,18.3,22.4,26.1,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636072,Newton Elementary,1,19,19,,18,22.3,24.4,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,18,8,,16.3,20.4,23.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,18,13,,17.7,20,24.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,17,17,,21.5,21.4,24.1,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,17,17,,19.8,20.8,25.1,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,17,17,,21.3,21.6,23.3,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,17,13,,17.5,18.7,24.4,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,15,15,,18.7,21.6,26.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,16,16,,21,20.6,24,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,15,13,,19.4,21.3,27.8,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,15,13,,17.5,22.5,26.7,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636073,Cedar Hills Elementary,1,15,15,,18.9,23.2,28.1,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636074,Discovery Elementary,1,6,5,,20,22.7,21,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636074,Discovery Elementary,1,6,4,,14,17.5,16.8,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636074,Discovery Elementary,1,6,5,,11,17.9,19.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636074,Discovery Elementary,1,5,5,,16,19,21,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636074,Discovery Elementary,1,4,2,,18,20.3,20.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636074,Discovery Elementary,1,3,3,,18,20.3,22,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,12,3,,21.8,21.2,26,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,12,10,,16.5,18.9,23.1,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,11,9,,15,20.8,25.2,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,10,8,,16,19.2,24.6,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,8,4,,17,20.9,25.3,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,8,8,,21.8,18.8,24.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,10,9,,20,17.6,19.1,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,9,9,,21.2,20.7,21.2,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,10,10,,14.7,18.8,20.3,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,9,9,,17.9,18,21.5,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636077,Royal Heights Elementary,1,8,7,,20.5,19.5,23.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636079,L A Matheson Secondary,1,173,35,45,,,,27.7
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636079,L A Matheson Secondary,1,179,27,38,,,,27.8
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636079,L A Matheson Secondary,1,188,35,53,,,,27.1
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636079,L A Matheson Secondary,1,182,32,44,,,,27.5
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636079,L A Matheson Secondary,1,209,37,29,,,,25.8
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636079,L A Matheson Secondary,1,219,37,15,,,,25.5
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636079,L A Matheson Secondary,1,278,62,,,,,22
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636079,L A Matheson Secondary,1,284,87,3,,,,21.8
