,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY,CITY_OF_SURREY
      In different census subdivision,2095,4915,5530,5665,11775,5485,7080,9170,42540
        In same census division,2035,4740,5330,5430,11455,5295,6970,9005,41260
    At home,200,735,845,965,1565,2065,740,940,7115
    Outside Canada,15,25,35,40,55,75,40,50,270
    No fixed workplace address,410,565,885,750,2350,895,1380,1790,7230
Total employed labour force 15 years and over with usual place of work or no fixed workplace address by mode of transportation,8555,19530,24645,23995,52130,24765,30735,39290,184365
"      Car, truck, van, as driver",5020,16465,19325,17455,39675,20315,22035,27055,140295
"      Car, truck, van, as passenger",665,1505,2100,1940,5445,1530,3125,3795,16315
      Public transit,2350,775,2415,3440,5055,1555,4460,6805,20040
      Walked,345,500,490,855,1185,900,545,895,4830
      Bicycle,25,125,55,90,210,115,145,175,765
      Motorcycle,10,30,50,70,70,30,60,75,320
      Taxicab,15,15,20,15,55,10,55,65,180
      Other method,120,115,190,135,435,315,310,430,1615
    Males with usual place of work or no fixed workplace address,4635,10315,13090,12815,28575,13140,17080,21715,99655
"      Car, truck, van, as driver",3020,9080,10915,10205,23145,11200,13120,16140,80680
"      Car, truck, van, as passenger",285,535,810,805,2355,565,1440,1720,6795
      Public transit,1045,315,995,1385,2185,750,1885,2935,8565
      Walked,165,200,200,225,450,370,265,430,1870
      Bicycle,30,120,55,70,175,85,105,135,640
      Motorcycle,10,25,45,65,65,30,55,70,305
      Taxicab,0,0,15,10,55,0,45,50,130
      Other method,70,45,55,55,140,135,160,235,665
    Females with usual place of work or no fixed workplace address,3920,9215,11560,11175,23560,11630,13655,17575,84705
"      Car, truck, van, as driver",1990,7390,8415,7255,16530,9115,8920,10910,59610
"      Car, truck, van, as passenger",385,970,1295,1135,3090,965,1690,2070,9520
      Public transit,1305,455,1420,2055,2865,810,2570,3875,11480
      Walked,185,300,290,635,740,530,280,465,2955
      Bicycle,0,0,0,20,40,30,35,35,125
      Motorcycle,0,0,0,10,10,0,10,0,15
      Taxicab,0,10,0,10,0,10,10,15,55
      Other method,45,70,135,80,295,180,150,195,950
"Total population 15 years and over who worked since January 1, 2005 by language used most often at work",10135,23520,29960,29480,63785,33450,37940,48075,228275
  Single responses,10020,23280,29290,28890,61530,33255,36810,46835,223080
    English,9530,23005,27780,27475,55350,32775,34395,43925,210310
    French,10,50,40,30,85,60,25,35,290
    Non-official languages,480,230,1465,1390,6095,420,2395,2875,12480
"      Chinese, n.o.s.",110,40,105,140,75,105,75,185,650
      Cantonese,40,0,95,55,60,0,20,60,270
      Panjabi (Punjabi),95,95,650,95,5415,70,1985,2080,8400
      German,0,10,10,0,0,0,0,0,15
      Mandarin,65,10,140,270,105,85,15,80,690
      Portuguese,0,0,0,10,0,0,20,20,30
      Spanish,25,10,10,10,35,0,35,55,120
      Vietnamese,30,30,145,100,175,0,80,115,560
      Korean,85,30,200,545,30,55,10,90,960
      Italian,0,0,0,0,0,0,0,0,0
      Other languages,30,10,130,165,200,95,160,185,785
  Multiple responses,115,240,670,590,2250,200,1130,1245,5190
    English and French,0,30,30,40,75,55,30,30,265
    English and non-official language,110,205,635,525,2170,125,1085,1195,4860
    French and non-official language,0,0,10,0,0,0,0,10,15
"    English, French and non-official language",0,0,10,10,10,20,10,10,50
Total population 15 years and over by hours spent doing unpaid housework,14460,29505,40425,41315,85170,50310,51685,66145,312870
    No hours of unpaid housework,1915,2530,4475,4075,9495,5395,6510,8430,34400
    Less than 5 hours of unpaid housework,3850,7360,10200,11335,21825,11460,12795,16645,78820
    5 to 14 hours of unpaid housework,4935,9470,12955,12385,26280,15465,15925,20860,97425
    15 to 29 hours of unpaid housework,2110,6255,7310,7765,15485,10225,9320,11435,58480
    30 to 59 hours of unpaid housework,1105,2815,3685,3990,8245,5770,4750,5855,30355
    60 hours or more of unpaid housework,540,1080,1790,1765,3835,2000,2380,2925,13400
  Males 15 years and over - Hours spent doing unpaid housework,7115,14405,19600,20140,41335,23765,25925,33045,152280
    No hours of unpaid housework,1225,1615,2480,2475,5600,3015,3965,5190,20370
    Less than 5 hours of unpaid housework,2350,4590,6270,6880,13690,6820,8040,10390,48645
    5 to 14 hours of unpaid housework,2390,4905,6755,6525,13760,8150,8650,11035,51135
    15 to 29 hours of unpaid housework,680,2375,2645,2920,5595,3925,3410,4090,21560
    30 to 59 hours of unpaid housework,345,750,1015,1010,2065,1460,1335,1675,7970
    60 hours or more of unpaid housework,130,165,430,325,630,395,530,660,2605
  Females 15 years and over - Hours spent doing unpaid housework,7345,15100,20825,21175,43840,26545,25755,33105,160590
    No hours of unpaid housework,690,915,1990,1600,3900,2380,2550,3240,14025
    Less than 5 hours of unpaid housework,1505,2760,3935,4455,8135,4640,4750,6255,30170
    5 to 14 hours of unpaid housework,2550,4570,6205,5855,12525,7315,7275,9825,46290
    15 to 29 hours of unpaid housework,1430,3880,4670,4845,9895,6295,5910,7345,36925
    30 to 59 hours of unpaid housework,760,2065,2670,2985,6180,4310,3415,4180,22380
    60 hours or more of unpaid housework,410,910,1365,1440,3210,1605,1850,2260,10790
"Total population 15 years and over by hours spent looking after children, without pay",14460,29505,40425,41315,85175,50310,51685,66145,312875
    No hours of unpaid child care,9555,16585,22230,23720,44900,32515,27965,37520,177470
    Less than 5 hours of unpaid child care,1265,2695,4560,4700,9780,4430,5965,7225,33385
    5 to 14 hours of unpaid child care,1290,3150,4990,4630,10905,4805,6755,8045,36535
    15 to 29 hours of unpaid child care,720,2210,3215,2945,7460,3230,4225,4945,24005
    30 to 59 hours of unpaid child care,690,2045,2505,2545,5230,2490,2905,3595,18400
    60 hours or more of unpaid child care,935,2810,2930,2775,6905,2845,3870,4815,23075
"  Males 15 years and over - Hours spent looking after children, without pay",7115,14405,19595,20140,41330,23765,25930,33045,152280
    No hours of unpaid child care,5125,8585,11460,12465,23465,15900,15315,20440,92320
    Less than 5 hours of unpaid child care,585,1435,2530,2465,5685,2305,3475,4060,18485
    5 to 14 hours of unpaid child care,585,1770,2635,2425,5785,2530,3470,4050,19200
    15 to 29 hours of unpaid child care,325,1220,1350,1305,3295,1595,1665,1990,10760
    30 to 59 hours of unpaid child care,220,760,960,895,1665,895,1055,1275,6455
    60 hours or more of unpaid child care,270,625,665,585,1435,540,950,1225,5065
"  Females 15 years and over - Hours spent looking after children, without pay",7345,15100,20830,21170,43840,26550,25760,33100,160590
    No hours of unpaid child care,4430,8010,10765,11255,21430,16615,12650,17080,85160
    Less than 5 hours of unpaid child care,680,1255,2035,2225,4095,2125,2485,3165,14900
    5 to 14 hours of unpaid child care,710,1385,2350,2210,5120,2270,3280,3995,17335
    15 to 29 hours of unpaid child care,395,990,1865,1635,4165,1630,2565,2955,13245
    30 to 59 hours of unpaid child care,465,1290,1540,1645,3565,1595,1850,2315,11950
    60 hours or more of unpaid child care,665,2180,2270,2195,5475,2305,2920,3590,18005
Total population 15 years and over by hours spent providing unpaid care or assistance to seniors,14460,29500,40425,41315,85170,50315,51690,66145,312875
    No hours of unpaid care or assistance to seniors,12545,24430,32115,33930,66680,41220,41400,53940,252320
    Less than 5 hours of unpaid care or assistance to seniors,1090,3035,4615,4310,9960,5505,5900,6990,34420
    5 to 9 hours of unpaid care or assistance to seniors,395,1140,1840,1620,4515,1885,2375,2775,13780
    10 to 19 hours of unpaid care or assistance to seniors,185,455,795,675,1965,805,1060,1240,5935
    20 hours or more of unpaid care or assistance to seniors,240,440,1060,775,2050,905,955,1185,6415
  Males 15 years and over - Hours spent providing unpaid care or assistance to seniors,7115,14405,19600,20140,41335,23765,25930,33045,152280
    No hours of unpaid care or assistance to seniors,6360,12385,15995,17210,33230,20055,21260,27615,126485
    Less than 5 hours of unpaid care or assistance to seniors,500,1370,2175,1780,4835,2495,2875,3375,16030
    5 to 9 hours of unpaid care or assistance to seniors,135,400,780,670,1755,690,1085,1225,5515
    10 to 19 hours of unpaid care or assistance to seniors,55,100,250,240,765,270,395,455,2085
    20 hours or more of unpaid care or assistance to seniors,65,155,395,240,755,255,305,375,2170
  Females 15 years and over - Hours spent providing unpaid care or assistance to seniors,7345,15100,20825,21175,43840,26550,25755,33100,160590
    No hours of unpaid care or assistance to seniors,6190,12045,16120,16720,33450,21170,20140,26330,125835
    Less than 5 hours of unpaid care or assistance to seniors,595,1665,2440,2535,5130,3005,3025,3615,18395
    5 to 9 hours of unpaid care or assistance to seniors,265,740,1060,950,2765,1195,1295,1550,8265
    10 to 19 hours of unpaid care or assistance to seniors,130,355,540,435,1200,530,660,790,3855
    20 hours or more of unpaid care or assistance to seniors,170,290,660,535,1295,650,645,815,4245
"Total male population 25 to 64 years with postsecondary qualifications by major field of study - Classification of Instructional Programs, 2000",2885,5800,7940,8615,15165,10265,8730,11615,59395
    Education,30,230,195,220,495,485,195,220,1855
"    Visual and performing arts, and communications technologies",140,140,180,325,355,275,160,295,1570
    Humanities,80,225,410,455,1150,435,415,500,3170
    Social and behavioural sciences and law,145,450,465,595,1135,1015,420,565,4230
"    Business, management and public administration",510,880,1415,1390,2575,2395,1175,1685,10340
    Physical and life sciences and technologies,130,120,320,340,650,380,270,395,2205
"    Mathematics, computer and information sciences",170,215,490,495,875,320,520,695,3085
"    Architecture, engineering, and related technologies",1310,2745,3660,3875,6055,3655,4650,5960,25955
"    Agriculture, natural resources and conservation",60,80,185,195,395,200,225,285,1355
"    Health, parks, recreation and fitness",120,270,335,330,740,630,280,400,2700
"    Personal, protective and transportation services",185,445,290,390,730,480,430,610,2940
    Other fields of study,0,0,0,0,0,0,0,0,0
"  Total female population 25 to 64 years with postsecondary qualifications by major field of study - Classification of Instructional Programs, 2000",2875,6330,7960,8920,15705,11075,8660,11535,61535
    Education,195,815,725,920,1655,1595,670,865,6560
"    Visual and performing arts, and communications technologies",75,190,335,425,440,475,270,345,2210
    Humanities,120,390,590,595,1565,605,680,800,4550
    Social and behavioural sciences and law,345,780,905,1240,1855,1470,905,1245,7495
"    Business, management and public administration",825,1740,2345,2270,4060,2655,2340,3165,16235
    Physical and life sciences and technologies,70,115,280,220,430,295,265,340,1670
"    Mathematics, computer and information sciences",125,175,225,435,640,285,260,390,2150
"    Architecture, engineering, and related technologies",150,160,225,330,400,405,320,470,1995
"    Agriculture, natural resources and conservation",40,85,90,185,180,115,110,150,800
"    Health, parks, recreation and fitness",680,1445,1860,1820,3790,2720,2225,2905,14540
"    Personal, protective and transportation services",240,440,370,490,695,465,620,865,3320
    Other fields of study,0,0,0,0,0,0,0,0,0
"Total population 15 to 24 years by highest certificate, diploma or degree",2175,4950,7630,7745,15015,7360,9380,11555,54265
"  No certificate, diploma or degree",860,1935,2800,2870,5150,2965,3310,4175,19890
"  Certificate, diploma or degree",1315,3015,4825,4880,9865,4395,6070,7385,34375
    High school certificate or equivalent,840,2115,3235,3285,6290,3135,4060,4905,22960
    Apprenticeship or trades certificate or diploma,125,180,325,315,615,275,415,545,2260
"    College, CEGEP or other non-university certificate or diploma",225,380,605,570,1490,460,925,1145,4655
"    University certificate, diploma or degree",120,345,655,705,1475,520,670,790,4490
      University certificate or diploma below bachelor level,65,215,305,290,650,165,335,400,2035
      University certificate or degree,60,130,345,410,825,355,335,390,2455
        Bachelor's degree,45,100,290,325,730,310,260,305,2065
        University certificate or diploma above bachelor level,10,25,50,50,60,25,50,60,265
"        Degree in medicine, dentistry, veterinary medicine or optometry",0,0,0,0,0,0,10,10,20
        Master's degree,0,0,0,30,30,20,10,15,105
        Earned doctorate,0,0,0,0,0,0,10,10,10
"Total population 25 to 64 years by highest certificate, diploma or degree",10220,21120,27615,28790,59855,31070,36205,46425,214875
"  No certificate, diploma or degree",1805,2415,3580,3520,11020,2025,7590,9395,31955
"  Certificate, diploma or degree",8415,18705,24035,25265,48840,29045,28610,37030,182920
    High school certificate or equivalent,2655,6575,8140,7725,17965,7700,11220,13880,61985
    Apprenticeship or trades certificate or diploma,1485,2830,3205,3225,5835,2930,4515,5995,24020
"    College, CEGEP or other non-university certificate or diploma",2055,4700,5410,5270,9715,7020,5715,7770,39880
"    University certificate, diploma or degree",2225,4600,7290,9045,15320,11390,7160,9385,57030
      University certificate or diploma below bachelor level,600,1295,2005,2235,4150,2285,2260,2855,14825
      University certificate or degree,1625,3305,5285,6810,11170,9105,4910,6530,42210
        Bachelor's degree,1180,2215,3555,4500,6810,5625,2835,4010,26720
        University certificate or diploma above bachelor level,135,490,600,865,1450,1025,650,785,5215
"        Degree in medicine, dentistry, veterinary medicine or optometry",45,75,115,185,235,380,140,185,1175
        Master's degree,225,440,895,1080,2465,1810,1200,1425,8120
        Earned doctorate,40,85,120,175,205,265,80,125,970
"Total population 65 years and over by highest certificate, diploma or degree",2060,3435,5185,4780,10300,11880,6100,8165,43740
"  No certificate, diploma or degree",900,1360,2420,1780,5290,2600,3075,3975,17430
"  Certificate, diploma or degree",1165,2070,2760,3000,5005,9280,3020,4185,26305
    High school certificate or equivalent,485,800,1380,1185,2040,3275,1135,1620,10305
    Apprenticeship or trades certificate or diploma,290,480,500,645,995,1525,595,885,5035
"    College, CEGEP or other non-university certificate or diploma",155,430,400,505,860,2070,635,790,5060
"    University certificate, diploma or degree",235,355,485,660,1115,2410,650,885,5915
      University certificate or diploma below bachelor level,95,140,180,190,415,685,185,275,1895
      University certificate or degree,140,220,300,470,695,1725,470,610,4020
        Bachelor's degree,55,150,135,280,370,945,235,290,2160
        University certificate or diploma above bachelor level,50,15,40,40,135,205,40,85,520
"        Degree in medicine, dentistry, veterinary medicine or optometry",10,0,15,10,0,90,15,30,150
        Master's degree,30,30,85,105,150,345,145,175,895
        Earned doctorate,0,15,25,35,35,145,30,35,300
Total population 25 to 64 years with postsecondary qualification by location of study,5760,12130,15900,17540,30875,21340,17390,23150,120935
  Inside Canada,3850,10425,10885,10385,19825,16995,11220,15070,83595
    Newfoundland and Labrador,0,55,20,15,90,80,35,40,300
    Prince Edward Island,0,15,10,0,0,15,10,10,45
    Nova Scotia,30,55,90,55,80,170,60,90,535
    New Brunswick,25,10,15,35,45,85,30,55,235
    Quebec,110,215,130,125,250,360,155,260,1340
    Ontario,160,625,330,535,980,1755,475,630,4855
    Manitoba,25,190,310,240,290,625,140,165,1810
    Saskatchewan,10,230,135,105,220,400,140,150,1230
    Alberta,130,425,505,405,720,1020,290,420,3480
    British Columbia,3360,8615,9350,8880,17140,12475,9885,13240,69690
    Yukon Territory,10,10,0,0,10,20,0,0,35
    Northwest Territories,0,0,10,0,0,0,10,10,15
    Nunavut,0,0,0,0,15,0,0,0,10
  Outside Canada,1910,1700,5010,7155,11040,4350,6170,8080,37335
Total population by Aboriginal and non-Aboriginal ancestry,17325,37705,50795,51655,109475,59935,65560,82880,392450
  Total Aboriginal ancestry population,775,1390,1115,1270,2735,1430,2235,3005,10955
    North American Indian single ancestry,225,105,165,165,230,80,370,595,1340
    North American Indian and non-Aboriginal ancestries,290,730,560,695,1515,700,1140,1435,5625
    Métis single ancestry,95,115,105,45,120,75,115,205,670
    Métis and non-Aboriginal ancestries,160,365,235,340,730,445,560,720,2830
    Inuit single ancestry,0,0,0,0,0,0,0,0,0
    Inuit and non-Aboriginal ancestries,10,25,0,0,10,20,0,0,65
    Other Aboriginal multiple ancestries,10,60,60,20,130,110,40,50,420
  Non-Aboriginal ancestry population,16545,36315,49675,50390,106735,58510,63325,79875,381495
Total population by visible minority groups,17325,37705,50795,51660,109475,59935,65560,82885,392450
  Total visible minority population,7310,6790,27390,24980,68500,7255,38770,46080,181005
    Chinese,1185,1040,3905,6395,3065,2555,2065,3250,20205
    South Asian,1850,3220,13805,4950,54340,1930,27715,29565,107810
    Black,815,285,510,900,1450,200,855,1665,5015
    Filipino,1295,630,2895,4270,3530,445,3490,4785,16555
    Latin American,415,155,505,640,1025,170,880,1300,3785
    Southeast Asian,595,570,2385,2000,1980,65,1640,2240,9240
    Arab,95,0,410,425,505,50,315,415,1800
    West Asian,125,35,275,330,595,120,305,430,1790
    Korean,560,425,1700,3585,275,955,170,725,7665
    Japanese,70,200,370,285,380,485,300,370,2090
"    Visible minority, n.i.e.",75,70,45,155,180,50,75,150,650
    Multiple visible minority,235,160,595,1055,1170,225,955,1195,4395
  Not a visible minority,10010,30915,23400,26675,40975,52680,26790,36800,211445
Total population by ethnic origin,17320,37705,50795,51660,109475,59935,65560,82885,392450
  British Isles origins,5515,19070,13265,15270,25865,34955,15695,21210,129635
    Cornish,0,0,0,0,10,15,10,0,35
    English,3340,12185,8335,9325,16740,22775,10055,13390,82755
    Irish,1935,5900,4355,5000,8185,11055,5040,6975,41460
    Manx,10,20,0,0,0,20,15,25,65
    Scottish,2385,8770,6085,7130,11240,14795,7275,9660,57685
    Welsh,290,1115,730,705,1310,1840,905,1190,6890
"    British Isles, n.i.e.",215,790,410,780,965,1615,510,720,5285
  French origins,1185,3295,2510,3255,5245,4935,3215,4400,23635
    Acadian,10,60,0,25,55,0,50,60,200
    French,1175,3270,2510,3235,5210,4935,3190,4360,23520
  Aboriginal origins,775,1390,1120,1265,2740,1430,2235,3010,10955
    Inuit,0,30,0,10,50,70,0,0,160
    Métis,255,530,400,405,945,580,720,975,3830
    North American Indian,520,890,780,875,1880,880,1555,2075,7385
  Other North American origins,2510,9005,6625,7175,12190,12165,8025,10540,57695
    American,130,730,445,575,890,1055,625,755,4445
    Canadian,2410,8460,6370,6820,11575,11530,7555,9965,54705
    Newfoundlander,0,10,0,15,10,0,20,20,45
    Nova Scotian,0,0,0,0,15,0,0,0,15
    Ontarian,0,0,0,0,0,0,0,0,10
    Québécois,0,10,0,0,10,10,0,0,30
    Other provincial or regional groups,0,0,10,0,10,0,0,10,20
  Caribbean origins,205,290,460,340,615,190,265,470,2365
    Antiguan,0,0,0,15,0,0,0,0,15
    Bahamian,0,0,0,0,0,0,0,0,0
    Barbadian,10,15,80,0,30,0,10,20,145
    Bermudan,0,0,15,15,0,10,0,0,35
    Carib,0,0,0,10,0,0,0,0,10
    Cuban,25,0,0,0,10,15,20,45,65
"    Dominican, n.o.s.",0,0,0,0,0,25,0,0,25
    Grenadian,0,0,0,40,15,0,10,10,60
    Guyanese,10,15,20,0,10,10,20,30,80
    Haitian,10,40,50,10,0,10,0,10,120
    Jamaican,100,110,215,160,270,65,130,235,1060
    Kittitian/Nevisian,0,0,0,0,0,0,0,0,0
    Martinican,0,0,0,0,0,0,0,0,0
    Montserratan,0,0,0,0,0,0,0,0,0
    Puerto Rican,0,0,0,0,0,20,0,0,25
    St. Lucian,0,10,0,0,0,0,0,0,0
    Trinidadian/Tobagonian,25,0,95,40,160,60,40,70,430
    Vincentian/Grenadinian,0,10,0,10,10,0,0,0,25
    West Indian,10,45,10,20,150,10,55,65,295
"    Caribbean, n.i.e.",10,60,10,30,20,0,0,10,125
"  Latin, Central and South American origins",425,430,490,845,1140,415,940,1365,4685
    Aboriginal from Central/South America,0,0,20,0,50,30,0,0,105
    Argentinian,0,75,0,0,0,0,10,10,85
    Belizean,10,15,0,0,0,0,0,0,20
    Bolivian,0,0,0,0,0,0,0,0,10
    Brazilian,10,20,0,0,55,0,30,40,110
    Chilean,80,10,40,25,90,65,35,115,350
    Colombian,65,15,20,35,25,45,45,105,245
    Costa Rican,0,0,45,0,20,0,20,25,100
    Ecuadorian,0,0,0,0,10,0,0,0,10
    Guatemalan,10,0,30,20,165,10,185,190,420
    Hispanic,15,0,10,25,0,0,10,20,55
    Honduran,30,50,0,95,40,40,40,70,290
    Maya,0,0,50,0,30,0,90,90,170
    Mexican,75,140,75,125,115,165,160,230,855
    Nicaraguan,20,0,60,0,20,0,0,25,105
    Panamanian,0,10,0,0,10,0,0,0,20
    Paraguayan,0,10,0,60,25,0,0,0,90
    Peruvian,0,25,25,65,80,45,15,15,250
    Salvadorean,135,65,120,370,405,0,335,465,1430
    Uruguayan,0,0,0,0,0,0,0,10,10
    Venezuelan,0,0,10,20,0,10,10,10,50
"    Latin, Central or South American, n.i.e.",10,30,20,0,65,10,75,85,210
  European origins,5380,17575,14530,16010,23070,26435,14920,20300,117920
    Western European origins,2180,9000,6685,7130,10535,12850,6475,8655,54850
      Austrian,40,700,525,475,710,775,390,430,3610
      Belgian,50,165,135,125,160,335,130,180,1110
      Dutch (Netherlands),335,3025,2080,1760,2350,2995,1550,1880,14095
      Flemish,10,0,20,0,55,30,0,10,110
      Frisian,0,0,10,10,10,10,0,0,35
      German,1825,5825,4300,5120,7795,9345,4800,6630,39000
      Luxembourger,0,0,0,0,0,0,10,0,0
      Swiss,55,115,200,245,280,425,135,190,1455
    Northern European origins,910,3705,2630,2465,4610,5930,2750,3660,22995
      Finnish,75,265,170,315,405,390,280,355,1905
      Scandinavian origins,835,3505,2480,2180,4275,5595,2490,3325,21350
        Danish,110,775,485,355,995,1070,470,585,4265
        Icelandic,50,305,115,150,325,530,135,190,1615
        Norwegian,325,1445,1255,785,1830,2465,1165,1485,9265
        Swedish,370,1050,785,940,1290,1695,805,1175,6935
"        Scandinavian, n.i.e.",20,120,35,30,180,245,85,110,720
    Eastern European origins,1940,5620,4295,5380,7520,8755,4685,6625,38200
      Baltic origins,35,140,80,125,185,410,90,125,1065
        Estonian,0,55,40,40,55,165,60,60,410
        Latvian,0,20,15,20,50,125,10,10,245
        Lithuanian,30,60,25,60,80,150,25,60,440
      Byelorussian,10,45,15,20,10,55,0,10,145
      Czech and Slovak origins,140,300,355,385,465,670,350,485,2660
        Czech,55,155,190,215,225,395,160,215,1405
        Czechoslovakian,25,75,105,60,70,120,45,70,505
        Slovak,50,70,60,120,180,185,165,215,825
      Hungarian (Magyar),210,565,435,490,845,550,705,915,3810
      Polish,620,1315,1265,1795,2205,2500,1095,1715,10785
      Romanian,90,405,255,355,585,420,225,315,2330
      Russian,260,1265,715,1075,1530,1650,940,1205,7445
      Ukrainian,815,2730,1940,1875,2900,3975,1810,2630,16050
    Southern European origins,1135,3215,3700,3870,5285,4075,3500,4635,24775
      Albanian,0,0,0,40,0,0,60,60,110
      Bosnian,20,10,150,110,115,40,70,95,520
      Bulgarian,40,0,30,10,50,25,0,40,150
      Croatian,70,130,245,265,350,425,190,260,1665
      Cypriot,0,80,0,0,0,0,0,0,80
      Greek,65,170,355,215,180,305,160,230,1455
      Italian,305,1705,1365,1455,1950,1925,1260,1565,9975
      Kosovar,0,0,0,0,0,0,0,0,0
      Macedonian,0,10,0,10,10,10,0,0,25
      Maltese,0,0,0,35,55,45,0,0,140
      Montenegrin,0,0,10,0,0,30,10,0,45
      Portuguese,70,475,860,485,790,330,640,710,3640
      Serbian,40,65,20,155,75,400,25,70,785
      Sicilian,0,0,0,0,0,0,15,15,15
      Slovenian,10,90,45,15,65,45,10,20,285
      Spanish,465,460,775,1150,1865,525,965,1430,6200
"      Yugoslav, n.i.e.",80,195,85,95,105,150,195,275,905
    Other European origins,70,250,155,160,405,655,175,255,1870
      Basque,0,0,0,0,0,25,0,0,25
      Gypsy (Roma),0,0,0,0,20,0,10,10,30
      Jewish,35,195,150,65,280,565,125,155,1410
      Slav (European),0,15,0,30,30,10,0,0,85
"      European, n.i.e.",40,40,0,70,80,60,50,90,330
  African origins,685,210,330,865,1285,395,635,1320,4400
    Afrikaner,0,10,10,0,25,20,0,0,65
    Akan,0,0,0,0,0,0,0,0,0
    Amhara,0,0,0,0,0,0,0,0,0
    Angolan,0,0,0,0,0,0,0,0,0
    Ashanti,0,0,0,0,55,0,0,0,55
    Bantu,0,0,0,0,0,0,80,80,80
    Black,100,60,10,50,220,95,180,275,705
    Burundian,10,0,0,0,45,0,0,10,55
    Cameroonian,0,0,0,0,0,0,0,0,0
    Chadian,0,0,0,0,0,0,0,0,0
    Congolese (Zairian),0,0,0,0,0,0,25,30,30
"    Congolese, n.o.s.",0,15,0,0,0,0,0,0,15
    Dinka,0,0,0,0,0,0,0,0,0
    East African,0,25,0,0,35,0,0,0,65
    Eritrean,35,0,0,10,0,0,0,35,40
    Ethiopian,155,0,15,35,20,0,20,180,250
    Gabonese,0,0,0,0,0,0,0,0,0
    Gambian,0,0,0,0,0,0,0,0,0
    Ghanaian,25,10,65,35,100,30,60,85,330
"    Guinean, n.o.s.",0,0,0,0,0,0,0,0,0
    Harari,0,0,0,0,0,0,0,0,0
    Ibo,0,0,0,0,0,0,0,0,0
    Ivorian,0,0,0,0,0,0,0,0,10
    Kenyan,0,0,0,0,10,10,0,0,25
    Malagasy,0,0,0,0,0,0,0,0,0
    Malian,0,0,0,0,0,0,0,0,0
    Mauritian,0,0,15,30,30,10,0,0,85
    Nigerian,100,0,50,10,55,0,90,195,305
    Oromo,0,0,0,0,0,0,0,0,0
    Peulh,0,0,0,0,0,0,0,0,0
    Rwandan,0,0,0,0,0,0,105,110,110
    Senegalese,0,0,0,0,0,0,0,0,0
    Seychellois,0,0,0,0,0,0,0,0,0
    Sierra Leonean,10,0,0,0,0,0,0,10,10
    Somali,80,0,0,105,330,0,15,95,535
    South African,25,45,10,35,70,115,15,40,320
    Sudanese,70,0,10,30,0,0,15,85,120
    Tanzanian,0,0,0,0,0,10,0,0,10
    Tigrian,0,0,0,0,0,0,0,0,0
    Togolese,0,0,0,0,0,0,0,0,0
    Ugandan,0,0,10,0,40,0,10,10,45
    Yoruba,10,0,0,0,0,0,0,0,0
    Zambian,0,0,0,0,0,0,0,0,0
    Zimbabwean,0,0,0,0,0,0,0,0,0
    Zulu,0,0,0,0,20,0,0,0,20
"    African, n.i.e.",145,55,145,535,285,115,270,410,1540
  Arab origins,105,25,620,810,690,225,425,525,2890
    Egyptian,0,0,105,60,20,25,145,155,370
    Iraqi,0,0,0,225,85,15,10,10,335
    Jordanian,0,0,80,0,40,0,0,0,115
    Kuwaiti,0,0,0,0,60,0,0,0,65
    Lebanese,65,20,205,260,90,100,50,110,780
    Libyan,0,0,0,0,0,0,0,0,0
    Maghrebi origins,0,0,15,55,55,45,40,35,210
      Algerian,0,0,0,30,20,25,0,0,75
      Berber,0,0,0,0,15,0,0,0,15
      Moroccan,0,0,15,20,15,20,40,40,115
      Tunisian,0,0,0,0,20,0,0,0,20
"      Maghrebi, n.i.e.",0,0,0,0,0,0,0,0,0
    Palestinian,30,0,125,25,150,0,70,105,415
    Saudi Arabian,0,0,10,10,70,0,0,0,90
    Syrian,0,25,35,55,20,10,60,60,190
    Yemeni,0,0,0,0,0,0,0,0,10
"    Arab, n.i.e.",0,0,130,165,260,35,85,85,670
  West Asian origins,95,100,345,540,955,325,485,585,2845
    Afghan,15,10,195,115,465,0,270,285,1070
    Armenian,0,30,10,85,25,25,0,10,175
    Assyrian,0,15,0,75,35,0,0,10,135
    Azerbaijani,0,0,0,0,0,0,0,0,0
    Georgian,0,10,0,0,0,10,10,10,30
    Iranian,65,30,95,270,265,165,165,225,1055
    Israeli,0,0,0,0,0,0,20,25,35
    Kurd,10,0,0,40,0,0,0,10,50
    Pashtun,0,0,0,0,55,0,10,10,65
    Tatar,0,0,0,0,0,30,0,0,35
    Turk,15,20,55,0,115,100,10,20,320
"    West Asian, n.i.e.",0,10,20,10,0,0,0,0,40
  South Asian origins,1850,3310,13590,5075,54145,1900,27560,29415,107435
    Bangladeshi,0,0,25,30,15,0,15,20,90
    Bengali,0,0,15,15,15,0,30,30,65
    East Indian,1645,3015,11730,4500,47675,1785,24170,25815,94510
    Goan,15,0,0,0,15,10,0,10,30
    Gujarati,0,10,0,0,75,0,25,20,105
    Kashmiri,0,0,20,0,0,0,0,0,15
    Nepali,0,10,20,0,70,0,130,130,220
    Pakistani,60,90,395,175,1810,35,590,650,3155
    Punjabi,70,215,1125,125,5110,75,2255,2330,8985
    Sinhalese,0,10,0,50,25,0,10,10,105
    Sri Lankan,10,30,395,175,215,30,110,125,970
    Tamil,0,0,95,15,10,0,20,20,135
